0.0000000,0.000#0.170#0.700#0.710,3.333e-01,-00000052,000000051,0,000000001,000000309,000000000,000000000
-40,1,-13,1,-6,1,-2,1,-1,1,-4,1,1,-3,1,2,1,2,-1,1,-1,1,1,1,3,2,2,1,1,2,1,-1,2,6,2,-2,3,1,2,4,6,2,2,4,4,6,3,2,6,3,7,6,5,8,6,7,12,4,12,9,7,6,4,12,4,4,9,10,7,5,4,7,10,6,10,15,12,11,10,9,9,9,6,10,11,16,8,17,18,9,12,14,13,10,15,9,11,13,12,7,12,15,6,6,10,12,15,9,10,12,9,13,9,13,12,10,6,8,6,4,10,13,6,11,5,4,5,8,4,5,3,8,6,8,5,7,11,7,3,3,5,4,3,1,6,5,3,3,6,-1,2,2,-1,3,1,2,9,1,2,2,1,2,2,-1,1,-1,3,1,2,1,1,-3,1,-1,1,1,-5,1,-62
-40,1,-14,1,-6,1,-1,1,-2,1,-4,2,-4,2,2,-1,2,-1,1,-1,1,1,1,4,2,1,2,1,2,-1,1,5,2,2,-2,4,-1,3,4,5,2,4,4,5,4,4,3,5,8,3,4,9,7,6,8,9,8,10,9,6,5,9,6,5,7,8,9,7,4,6,8,6,8,18,8,15,9,10,7,10,6,8,14,11,12,15,17,13,11,12,10,14,10,14,13,14,10,6,14,12,9,6,8,12,13,14,10,8,10,14,8,14,11,12,6,5,10,4,8,10,10,8,10,5,6,3,7,5,4,4,5,7,10,4,11,8,5,2,5,5,2,4,3,6,2,4,5,3,1,1,2,2,1,2,6,4,2,2,2,1,2,1,-1,1,1,2,1,3,-1,1,-3,1,-1,1,1,-5,1,-61
-42,1,-14,1,-5,1,-2,1,-1,1,-4,1,1,-3,1,2,1,1,1,-1,1,-1,1,2,2,3,2,1,1,1,2,-1,2,5,3,-2,2,2,2,4,4,4,1,5,4,5,4,2,6,2,8,6,4,9,6,6,11,6,10,9,7,8,4,11,4,4,10,9,7,6,4,7,10,6,9,16,11,11,10,9,9,10,5,9,13,14,9,17,18,7,15,12,12,13,14,9,11,14,11,8,12,13,6,8,9,12,15,10,10,11,8,14,8,15,10,12,5,7,7,4,10,13,7,9,6,4,6,7,4,6,3,8,4,9,6,7,10,7,4,2,6,4,2,2,4,7,3,2,6,1,2,2,-1,3,1,1,9,2,2,2,1,2,2,-1,1,-1,2,2,1,2,1,-4,1,1,1,-5,1,-60
-42,1,-14,1,-5,1,-2,1,-1,1,-4,1,1,-3,1,2,1,1,1,-1,1,-1,1,1,3,3,2,1,1,1,2,-1,2,5,3,-2,2,2,1,4,5,4,1,5,4,5,4,2,6,2,8,6,4,9,6,6,10,6,11,9,7,8,4,11,4,4,9,9,8,6,4,7,10,5,9,17,10,11,11,8,9,10,6,9,13,14,7,19,18,7,15,12,12,13,14,9,11,14,11,8,12,13,6,7,9,13,15,10,9,12,8,14,8,15,10,12,4,8,7,4,10,13,7,9,5,5,6,5,6,6,3,8,4,7,8,7,9,8,4,2,6,4,2,2,3,8,3,2,6,1,1,3,-1,3,1,1,9,2,2,2,1,2,2,-1,1,-1,2,2,1,2,1,-4,1,1,1,-6,1,-59
