0.0000000,0.000#0.460#0.470#0.510#0.540#0.480#0.490#0.500#0.520#0.650#0.630#0.640,1.667e-01,-00000028,000000023,0,000000001,000000306,000000000,000000000
-34,1,-21,1,-9,1,-4,1,-1,1,1,-1,1,-5,1,2,2,-4,1,1,-1,2,2,-1,1,1,1,-1,1,2,1,2,4,1,1,3,4,3,2,1,1,1,4,1,2,3,4,1,4,5,2,5,4,3,4,3,6,8,4,4,6,13,9,6,7,11,2,9,6,9,9,12,8,17,10,8,8,9,8,8,7,5,9,11,9,13,10,8,7,6,4,13,6,8,7,10,9,14,17,11,6,7,7,15,14,6,11,11,13,8,13,11,11,13,9,9,8,7,8,12,8,4,10,4,6,11,4,3,8,11,8,3,4,-1,5,7,6,3,8,3,4,7,5,4,1,3,4,5,6,4,4,3,1,1,5,5,3,-1,1,2,1,-1,2,-1,4,1,1,-1,2,2,1,2,2,1,-2,1,-5,1,-6,1,1,-7,1,-36
-36,1,-22,1,-9,1,-4,1,-1,1,1,-1,1,-5,2,1,2,-4,1,1,-1,2,2,-1,1,1,1,1,1,1,2,2,3,2,-1,3,4,3,2,2,-1,2,3,1,2,3,4,2,5,3,4,3,4,5,3,3,5,8,5,6,6,11,9,7,8,9,2,8,8,10,9,10,10,16,8,12,6,8,8,12,4,5,10,12,7,13,9,7,9,4,8,11,7,5,9,8,11,14,18,9,7,6,10,12,13,8,11,12,12,9,13,14,8,14,8,7,10,6,9,11,7,6,7,9,3,10,3,4,9,13,5,2,4,1,9,3,5,8,4,2,5,6,6,4,1,3,4,4,8,3,3,4,-1,1,6,5,2,-1,1,2,1,-1,2,-1,4,1,1,2,1,2,-1,2,2,1,-1,1,-6,1,-6,1,1,-6,1,-34
-36,1,-22,1,-9,1,-4,1,-1,1,1,-1,1,-5,2,1,2,-4,1,1,-1,2,2,-1,1,1,1,-1,2,1,2,2,3,1,1,3,4,3,2,1,1,2,3,1,2,3,4,2,5,3,4,3,4,5,3,3,5,8,5,6,6,11,9,7,6,11,1,9,8,9,9,10,10,17,8,11,7,8,8,11,5,4,10,10,9,13,10,7,8,5,8,11,6,6,9,8,11,13,18,9,7,7,9,13,13,7,11,12,13,7,14,11,12,12,10,7,10,5,10,11,7,5,8,7,3,12,3,3,10,12,6,2,4,1,7,5,5,5,7,2,5,6,6,4,1,3,3,5,7,4,3,4,-1,1,6,4,3,-1,1,2,1,-1,2,-1,4,1,1,1,2,2,-1,2,2,1,-1,1,-6,1,-6,1,1,-6,1,-34
-37,1,-21,1,-10,1,-3,1,-1,1,1,-1,1,-5,1,1,3,-4,1,1,-1,2,2,-1,1,-1,2,-1,1,2,1,2,3,2,1,3,3,4,2,1,1,1,4,-1,3,3,4,1,3,6,2,5,2,5,4,2,7,7,5,4,6,13,8,7,5,13,2,9,6,8,10,9,10,15,13,8,8,8,9,7,8,4,10,10,9,12,10,9,7,6,4,13,6,9,6,11,8,13,17,13,5,8,7,14,15,6,9,13,13,8,10,14,9,14,10,9,7,8,8,11,8,4,10,5,6,11,4,3,7,11,9,2,5,-1,5,7,6,2,9,3,3,8,5,4,1,3,3,6,4,6,4,3,1,1,5,5,3,-1,1,2,-1,1,2,-1,4,1,1,-1,2,2,1,2,2,1,-2,1,-6,1,-5,1,1,-7,1,-33
-37,1,-21,1,-10,1,-4,1,1,-1,1,-1,1,-4,1,1,3,-5,1,1,1,3,-2,1,2,-1,1,2,-1,3,3,2,1,2,3,5,1,2,1,1,3,1,2,3,5,1,3,5,3,4,3,3,6,2,4,9,5,5,5,14,7,6,7,11,3,9,4,10,9,10,9,13,16,6,11,6,7,9,10,4,10,8,9,11,13,9,4,9,4,12,7,8,6,10,7,14,16,14,6,7,8,12,14,7,8,13,15,9,8,13,12,13,11,9,8,7,7,10,10,5,9,6,6,9,4,4,6,11,10,3,5,-1,4,8,4,3,10,2,2,8,5,6,1,2,3,7,4,6,3,3,2,-1,5,6,2,1,-1,2,1,1,2,-1,4,1,1,-1,2,2,1,1,3,1,-2,1,-6,1,-5,1,-1,1,-6,1,-33
-36,1,-22,1,-9,1,-4,1,-1,1,1,-1,1,-5,2,1,2,-4,1,1,-1,2,2,-1,1,1,1,-1,1,2,2,2,3,1,1,3,4,3,2,1,1,2,3,1,2,3,4,1,6,3,4,3,4,4,4,3,5,8,5,4,8,10,10,6,6,12,1,9,8,9,8,11,10,16,9,9,8,8,8,10,6,4,10,11,8,14,10,7,8,5,8,11,5,7,8,9,9,15,18,9,7,7,9,12,14,7,11,12,12,7,15,11,12,10,12,7,9,6,9,11,8,4,9,6,4,12,3,3,10,11,7,2,4,-1,7,6,5,3,8,3,5,6,6,4,-1,4,3,5,7,4,3,3,1,1,6,4,3,-1,1,2,1,-1,2,-1,4,1,1,1,1,3,-1,2,2,1,-2,1,-5,1,-6,1,1,-7,1,-33
-37,1,-21,1,-9,1,-4,1,-1,1,1,-1,1,-5,1,2,2,-4,1,1,-1,2,2,-1,1,1,1,-1,1,2,1,2,4,1,1,3,4,3,2,1,1,2,3,1,2,3,4,1,5,4,2,5,4,3,4,4,5,8,4,5,7,11,10,6,6,12,1,9,8,7,9,12,9,17,9,9,7,9,8,9,7,4,9,11,9,13,10,8,8,5,8,10,5,8,8,9,9,14,18,10,7,7,6,15,14,6,11,12,13,7,14,10,11,13,10,8,9,7,8,12,8,3,10,5,5,11,4,3,9,12,7,2,4,-1,7,6,5,3,8,3,5,6,5,4,1,4,3,5,6,5,3,3,1,1,6,4,3,-1,1,2,1,-1,2,-1,4,1,1,1,1,3,-1,2,2,1,-2,1,-5,1,-6,1,1,-7,1,-33
-37,1,-21,1,-9,1,-4,1,-1,1,1,-1,1,-5,1,2,2,-4,1,1,-1,2,2,-1,1,1,1,-1,1,2,1,2,4,1,1,3,4,3,2,1,1,1,4,1,2,3,4,1,4,5,2,5,4,3,4,3,6,8,4,4,6,13,9,6,7,11,2,9,6,9,9,12,8,17,10,8,8,9,8,8,7,5,9,11,9,13,10,8,7,6,4,13,6,8,7,10,9,14,17,11,6,7,7,15,14,6,11,11,13,8,13,11,11,13,9,9,8,7,8,12,8,4,10,4,6,11,4,3,8,11,8,3,4,-1,5,7,6,3,8,3,4,7,5,4,1,3,4,5,6,4,4,3,1,1,5,5,3,-1,1,2,1,-1,2,-1,4,1,1,-1,2,2,1,2,2,1,-2,1,-5,1,-6,1,1,-7,1,-33
-37,1,-21,1,-10,1,-3,1,-1,1,1,-2,1,-4,1,1,3,-4,1,1,-1,2,2,-1,1,-1,2,-1,1,2,-1,3,3,2,1,3,3,4,1,2,1,1,3,1,3,3,4,1,3,5,3,5,2,4,5,2,6,8,4,5,6,13,8,7,5,13,1,9,7,8,8,11,8,15,15,6,10,8,7,8,9,4,10,9,9,12,11,9,5,8,4,12,7,9,5,11,8,14,17,12,6,7,8,14,14,5,9,13,14,9,8,14,11,14,10,9,7,8,8,9,10,4,10,5,6,10,4,3,6,13,9,2,5,-1,4,8,5,3,9,2,4,7,5,5,1,3,2,7,4,6,3,3,2,1,4,6,3,-1,1,2,-1,1,2,-1,4,1,1,-1,2,2,1,1,3,1,-2,1,-6,1,-5,1,-1,1,-6,1,-33
-38,1,-21,1,-9,1,-4,1,-1,1,1,-1,1,-5,2,1,2,-4,1,1,-1,2,2,-1,1,1,1,-1,1,2,2,1,4,1,1,3,4,3,2,1,1,2,3,1,2,3,4,1,5,4,2,5,4,3,5,3,5,8,5,4,8,10,10,6,6,12,1,9,8,7,10,11,9,17,9,9,8,8,8,10,6,4,10,10,9,14,10,7,8,5,8,10,6,7,8,9,9,15,17,10,7,7,7,14,14,7,10,12,13,7,15,10,11,12,11,7,9,7,9,11,8,4,9,6,4,11,4,3,9,12,7,2,4,-1,7,6,5,3,8,3,5,6,6,4,-1,4,3,5,6,5,3,3,1,1,6,4,3,-1,1,2,1,-1,2,-1,4,1,1,1,1,3,-1,2,2,1,-2,1,-5,1,-6,1,1,-7,1,-32
