0.0000000,0.000#0.350#0.440#0.450#0.480#0.590,3.333e-01,-00000064,000000063,0,000000001,000000381,000000000,000000000
-78,1,-12,1,-1,1,-1,1,1,-2,1,1,-1,1,-1,1,1,1,-2,1,-2,2,1,1,1,2,1,-2,3,2,1,2,2,3,1,3,-1,1,6,2,3,5,4,1,1,6,3,5,2,5,3,4,6,10,1,5,4,2,4,1,3,7,13,6,3,5,7,5,4,9,4,10,6,4,13,9,10,11,16,13,11,8,10,5,8,12,8,10,7,11,11,4,5,13,4,14,10,12,6,17,15,8,6,11,6,8,13,11,17,6,7,15,10,7,6,9,3,12,7,9,5,13,5,6,9,6,12,5,10,12,7,3,3,4,11,8,6,8,3,8,4,5,11,3,9,6,4,5,5,7,1,5,4,3,5,6,8,5,2,3,1,5,4,3,3,2,3,1,1,1,1,1,1,-2,5,1,-1,1,2,-1,2,-1,2,-1,1,-1,1,-1,2,-1,1,-1,1,-3,1,-2,1,-88
-79,1,-12,1,-1,1,-2,2,-2,1,1,-1,1,-1,1,1,1,-2,1,-2,2,1,1,1,2,1,-2,3,2,-1,3,1,4,1,3,-1,1,6,2,3,5,4,1,-1,7,2,6,2,5,2,5,6,9,2,5,3,3,4,1,3,7,12,7,3,5,7,4,5,9,3,11,6,4,13,9,10,11,16,12,12,7,10,6,8,11,9,10,6,11,12,4,5,12,4,14,11,12,6,17,14,9,6,10,7,8,11,12,16,8,5,16,11,7,6,9,3,11,7,8,6,14,4,6,10,6,11,6,9,12,8,3,2,5,11,8,6,8,3,8,3,6,10,4,9,6,4,4,5,7,2,5,4,3,5,6,8,5,2,3,1,5,4,2,4,2,2,2,1,1,-1,2,1,-2,5,1,-1,1,2,-1,2,-1,2,-1,1,-1,1,-1,2,-1,1,-1,1,-3,1,-2,1,-87
-79,1,-12,1,-1,1,-2,2,-2,1,1,-1,1,-2,2,1,-3,1,-1,2,1,1,1,1,2,-2,2,2,1,2,2,2,3,3,-2,5,4,3,5,2,2,1,6,3,4,4,2,4,4,7,6,5,5,3,4,2,3,3,5,10,10,4,4,6,5,4,8,6,7,8,6,9,9,10,11,14,15,14,6,7,9,6,11,9,12,6,9,11,7,5,10,8,10,12,11,9,11,15,12,4,13,6,9,11,11,13,14,3,11,17,6,6,11,1,10,9,6,9,10,6,8,7,8,8,10,7,12,8,3,2,6,8,7,9,8,4,6,5,7,9,4,8,7,2,6,5,6,4,4,3,5,2,4,10,7,2,2,3,3,5,2,3,4,2,2,-1,1,1,2,1,-2,4,2,-1,1,1,1,2,-1,2,-1,1,-1,1,-1,2,-2,1,1,-3,1,-2,1,-87
-79,1,-12,1,-1,1,-2,2,-3,2,-1,1,-2,2,1,-3,1,-1,2,1,1,1,1,2,-2,2,2,1,2,2,2,2,4,-2,5,4,3,5,2,2,1,6,3,4,4,2,4,4,7,6,5,4,4,3,3,3,3,5,10,10,4,4,5,6,4,8,5,8,8,6,9,9,10,10,14,16,14,5,8,9,6,11,9,12,6,9,11,7,5,10,8,10,12,10,9,12,14,13,4,13,6,9,11,11,13,14,3,11,17,6,6,11,1,10,9,6,9,10,6,8,7,8,8,9,8,12,8,3,2,6,8,7,9,8,4,6,5,7,9,4,7,8,2,6,5,6,4,4,3,4,3,4,10,6,3,2,3,3,5,2,3,4,2,2,-1,1,1,2,1,-2,3,3,-1,1,1,1,2,-1,2,-1,1,-1,1,-1,2,-2,1,1,-3,1,-2,1,-87
-79,1,-12,1,-1,1,-2,2,-3,2,-2,1,-1,2,1,-3,1,-1,2,1,1,1,1,2,-2,2,1,2,2,2,2,2,3,1,-1,5,3,3,6,2,2,1,6,2,4,5,2,4,4,6,6,6,4,4,3,3,2,4,4,11,10,4,4,4,7,4,6,5,10,7,7,9,9,8,11,14,14,17,5,7,10,5,11,10,11,6,10,9,9,5,10,7,9,14,8,9,13,15,12,5,13,5,9,12,11,11,16,1,11,18,7,5,11,2,9,10,5,10,7,9,6,8,9,7,9,8,13,7,4,2,6,7,8,8,9,2,6,7,6,9,5,6,8,3,5,6,6,4,4,3,4,3,3,8,9,3,2,2,4,5,2,3,4,2,2,-1,1,1,2,-1,1,-1,2,4,-1,1,1,1,2,-1,2,-1,1,-1,1,-1,2,-2,1,1,-3,1,-2,1,-87
-79,1,-13,1,-1,1,-1,1,1,-2,2,-2,1,-1,2,1,-3,1,-1,1,1,2,1,1,2,-3,3,2,1,2,2,3,3,1,-1,1,6,3,5,3,3,1,2,6,3,4,2,5,3,5,5,10,3,3,4,3,3,3,2,11,11,5,3,4,7,4,6,7,8,7,6,7,12,6,13,9,18,15,8,7,10,5,12,8,9,9,10,8,12,3,6,11,5,18,9,9,13,12,14,6,8,10,6,12,12,11,15,4,10,16,7,7,7,8,4,10,9,8,9,9,6,6,10,4,14,4,13,7,7,3,5,5,9,8,10,3,6,5,6,7,8,4,9,4,4,7,3,7,4,2,6,1,5,7,9,4,2,2,2,5,3,4,3,1,3,1,1,1,1,1,1,-2,5,1,-1,2,1,-1,2,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-3,1,-2,1,-86
