0.0000000,0.000#0.270#0.280#0.250#0.300#0.240#0.310#0.230#0.170,1.667e-01,-00000026,000000030,0,000000001,000000336,000000000,000000000
-50,1,-22,1,-2,1,-3,1,2,-1,1,1,2,-3,2,3,1,2,1,2,1,2,1,5,4,2,5,4,2,4,1,1,8,1,3,2,3,7,3,5,8,3,5,13,4,5,6,6,7,8,4,4,7,8,15,9,9,6,7,19,13,11,7,5,6,11,14,9,17,7,8,11,9,16,10,11,11,11,8,11,12,7,10,7,15,6,10,15,13,11,7,12,13,17,13,10,12,16,10,8,4,11,6,21,6,5,9,6,8,6,9,7,2,7,9,6,5,6,6,3,7,4,5,3,4,5,3,4,5,3,3,2,5,4,-1,1,3,7,6,1,-1,3,3,-1,3,2,-1,1,1,-1,2,-1,1,2,1,3,1,-3,1,1,-2,1,1,-3,1,1,-4,1,-85
-51,1,-23,1,-1,1,-4,3,-2,1,3,-4,3,2,3,1,2,1,2,-1,1,5,4,4,5,3,3,2,1,5,5,-1,5,2,4,4,5,8,4,3,8,9,4,6,6,8,10,4,2,6,8,9,14,11,6,7,12,16,14,6,7,8,7,13,11,12,11,10,7,11,12,14,12,7,13,13,6,12,10,10,10,9,10,6,13,16,10,9,12,9,16,11,14,13,11,15,11,7,5,9,12,17,3,7,8,7,10,4,9,6,1,12,3,10,4,5,6,3,9,1,7,2,3,6,3,4,5,3,2,1,9,-1,1,-1,5,8,3,1,1,3,2,1,2,2,-1,1,1,2,-1,1,-1,3,-1,4,-3,1,1,-3,2,-3,1,1,-5,1,-83
-51,1,-23,1,-1,1,-4,3,-2,1,2,1,-3,3,2,3,-1,3,1,2,-1,1,5,4,3,6,3,3,2,1,3,7,-1,5,2,4,4,5,8,3,4,7,10,4,6,6,8,9,4,3,6,6,11,14,11,5,8,12,15,15,5,7,9,6,14,11,12,11,10,6,11,13,13,11,9,11,14,7,10,12,8,11,6,14,6,12,15,11,10,11,10,16,11,14,13,11,15,11,7,4,10,11,18,3,7,8,7,9,5,9,6,1,12,3,8,4,6,7,2,10,1,6,3,3,5,4,4,5,3,2,1,9,-2,1,5,7,4,1,-1,4,2,1,2,2,-1,1,1,2,-1,1,-1,3,-1,4,-3,1,-1,1,-2,1,1,-3,2,-5,1,-83
-51,1,-23,1,-1,1,-4,3,-1,1,-1,3,-4,4,2,2,1,2,1,2,-1,2,4,4,5,4,3,4,1,1,5,5,1,4,2,4,5,5,8,3,3,10,7,6,4,8,7,9,4,3,8,7,11,11,12,4,8,13,18,11,5,8,7,8,13,11,15,8,9,10,10,11,15,12,6,15,10,8,11,9,10,10,9,12,7,13,13,10,9,12,10,18,10,18,7,14,13,12,5,5,9,15,16,2,7,7,8,9,5,10,4,3,11,3,9,5,5,5,3,9,2,6,4,2,5,3,6,3,3,2,1,9,-1,1,1,4,9,2,1,1,3,2,2,2,1,-1,1,1,2,-1,1,-1,3,-1,4,-3,1,1,-3,2,-3,1,1,-5,1,-83
-51,1,-23,1,-2,1,-3,2,1,-1,1,1,2,-3,3,2,2,1,2,2,2,-1,1,5,4,3,4,4,3,3,1,3,7,-1,5,-1,6,4,5,7,4,3,7,11,4,5,6,9,8,5,3,5,6,11,15,8,7,7,10,18,14,7,7,7,7,13,12,10,14,9,7,10,13,13,11,10,9,13,9,10,12,8,9,8,13,7,10,17,11,10,11,10,12,16,13,12,12,14,12,7,2,12,8,19,5,6,10,5,9,7,8,7,1,11,4,7,4,7,7,2,7,4,5,2,4,6,4,3,5,4,1,2,7,2,-1,1,4,8,4,1,-1,3,3,1,2,2,-1,1,1,2,-1,1,-1,2,1,3,1,-3,1,1,-2,1,1,-3,2,-5,1,-83
-51,1,-23,1,-1,1,-4,3,-1,1,-1,3,-3,2,2,2,2,1,2,1,2,-1,2,6,2,5,5,3,4,-1,1,5,5,1,4,2,4,5,5,8,3,3,11,7,5,5,7,7,9,6,2,7,7,13,9,13,3,8,13,18,11,7,6,7,11,11,11,14,8,9,11,9,11,15,13,5,15,10,8,12,8,11,9,10,11,8,13,12,14,5,12,14,15,10,17,7,14,13,12,5,5,9,20,11,2,8,6,8,9,6,9,4,3,11,3,9,6,4,5,5,7,3,5,4,2,5,3,6,3,3,2,1,9,-1,1,1,4,9,2,1,1,3,2,3,1,1,1,-1,1,2,-1,1,-1,3,-1,4,-3,1,1,-3,2,-3,1,1,-5,1,-83
-52,1,-22,1,-2,1,-3,2,1,-1,1,1,2,-3,3,2,2,1,2,1,3,-1,1,5,4,2,5,4,3,3,1,3,7,-1,3,2,5,5,3,7,6,3,6,12,4,5,6,8,8,6,3,5,6,10,13,11,7,7,9,19,12,9,7,7,7,10,15,8,15,9,7,10,13,14,10,10,10,12,9,9,14,6,11,7,13,7,10,17,12,10,11,10,12,16,13,10,12,16,10,8,3,12,8,19,5,5,11,5,7,7,10,6,2,11,4,7,4,7,6,3,7,3,6,2,4,6,3,4,5,4,1,2,6,3,-1,1,4,7,5,1,-1,3,3,1,2,2,-1,1,1,-1,2,1,-1,2,1,3,1,-3,1,1,-2,1,1,-3,2,-5,1,-83
-51,1,-23,1,-1,1,-4,3,-1,1,-1,3,-3,2,3,1,2,1,2,1,2,-1,4,4,3,4,5,3,4,-1,1,5,5,1,4,2,4,5,6,7,3,5,9,7,6,4,7,8,9,5,2,7,8,13,9,12,4,7,13,19,10,7,7,6,11,11,12,13,8,10,11,8,11,15,13,8,13,9,9,12,7,11,9,12,9,8,13,14,12,5,12,14,15,12,15,8,14,12,13,4,5,9,22,9,2,8,6,8,9,6,9,4,4,10,4,8,6,4,5,6,6,3,5,4,2,5,3,6,3,3,2,2,8,-1,1,1,4,10,1,1,1,3,2,3,1,1,1,-1,1,2,-1,1,-1,3,-1,4,-3,1,1,-3,2,-3,1,1,-5,1,-83
-51,1,-22,1,-2,1,-3,1,2,-1,1,1,2,-3,2,3,1,2,1,2,1,2,1,4,5,2,5,4,2,4,1,1,8,1,3,2,3,7,3,5,8,3,5,13,4,5,6,5,8,8,4,4,7,8,15,8,10,6,7,19,12,12,6,6,6,11,13,10,17,7,8,11,9,15,11,10,12,11,8,11,12,7,9,8,15,6,10,15,12,11,8,12,13,17,13,10,12,16,10,8,4,10,7,21,6,5,9,5,9,6,8,8,2,7,9,6,5,5,7,3,7,4,5,3,4,5,3,4,5,3,3,2,5,4,-1,1,3,7,6,1,-1,3,3,-1,3,2,-1,1,1,-1,2,-1,1,2,1,3,1,-3,1,1,-2,1,1,-3,1,1,-5,1,-83
