1.8849556,0.000#0.710#0.720#0.320#0.700#0.730#0.130#0.150#0.220#0.230#0.260#0.270#0.280#0.740#0.120#0.140#0.160#0.250#0.290#0.300#0.310#0.330#0.340#0.690#0.920#0.750#0.030#0.110#0.170#0.180#0.190#0.200#0.210#0.240#0.360#0.530#0.570#0.590#0.600#0.610#0.780#0.790#0.040#0.050#0.060#0.070#0.100#0.370#0.440#0.450#0.460#0.470#0.480#0.490#0.500#0.510#0.560#0.580#0.910#0.020#0.080#0.090#0.540#0.620#0.660#0.670#0.770#0.810#0.820#0.830#0.860#0.870#0.880#0.890#0.010#0.380#0.430#0.520#0.840#0.900#0.390#0.400#0.410,3.333e-02,-00000005,000000005,0,000000001,000000300,000000000,000000000
-89,1,-9,1,-7,1,-1,1,-8,2,-4,1,3,1,1,2,1,2,1,1,2,3,2,1,-1,3,-1,1,1,1,2,2,-1,2,2,2,3,2,2,2,3,3,1,-1,3,1,2,5,4,3,3,3,2,2,-1,1,4,2,2,-1,1,1,1,3,3,2,3,1,2,1,6,2,2,1,2,5,3,-1,1,-1,1,1,2,1,1,2,1,1,3,-2,1,-1,2,3,1,-1,2,1,1,1,1,1,-1,2,2,-1,1,2,-2,1,1,-1,1,-1,1,-1,2,1,2,-1,1,-65
-111,1,-8,1,-8,1,-1,1,-7,2,-5,4,1,1,2,1,2,1,-1,3,3,2,1,-1,2,1,-1,2,-1,3,2,-1,2,1,3,1,4,2,-1,5,2,2,-1,2,2,-1,5,5,3,2,2,5,2,-1,1,2,4,1,1,1,1,-1,4,3,2,1,3,2,-1,4,5,2,-1,3,4,3,1,1,-1,1,1,2,-1,2,2,1,1,2,1,-1,1,-1,2,3,-1,1,2,-1,1,1,2,1,-1,2,1,1,1,2,-3,2,-1,1,-1,1,-1,2,1,-1,2,-1,1,-43
-111,1,-8,1,-8,1,-1,1,-7,2,-5,2,3,1,2,1,1,2,-1,2,2,3,2,-1,1,2,-1,1,1,2,2,1,1,2,2,2,3,3,-1,5,2,1,1,1,3,-1,3,5,3,4,2,3,3,1,-1,1,5,2,1,1,1,-1,2,5,1,1,4,2,-1,2,6,2,1,3,3,4,1,-1,1,-1,2,2,-1,1,3,1,1,-1,3,-2,1,1,3,1,1,2,-1,1,1,2,1,-1,2,1,1,1,1,1,-2,1,1,-1,1,1,-1,1,1,1,2,-1,1,-43
-99,1,-8,1,-8,1,-1,1,-7,2,-5,2,3,1,2,1,1,2,-1,2,2,3,2,-1,1,2,-1,1,1,2,2,1,1,2,2,2,3,3,-1,5,2,1,1,1,3,-1,3,5,3,4,2,3,3,1,-1,1,5,2,1,1,1,-1,2,5,1,1,4,2,-1,2,6,2,1,3,3,4,1,-1,1,-1,2,2,-1,1,3,1,1,-1,3,-2,1,1,3,1,1,2,-1,1,1,2,1,-1,2,1,1,1,1,1,-2,1,1,-1,1,1,-1,1,1,1,2,-1,1,-55
-110,1,-9,1,-7,1,-1,1,-8,2,-4,1,3,1,1,2,1,2,1,1,2,3,2,1,-1,3,-1,1,1,1,2,2,-1,2,2,2,3,2,2,2,3,3,1,-1,3,1,2,5,4,3,3,3,2,2,-1,1,4,2,2,-1,1,1,1,3,3,2,3,1,2,1,6,2,2,1,2,5,3,-1,1,-1,1,1,2,1,1,2,1,1,3,-2,1,-1,2,3,1,-1,2,1,1,1,1,1,-1,2,2,-1,1,2,-2,1,1,-1,1,-1,1,-1,2,1,2,-1,1,-44
-111,1,-9,1,-7,1,-1,1,-7,1,1,-4,1,4,-1,2,2,-1,2,1,1,3,2,3,-2,3,-1,1,1,1,2,2,-1,2,2,2,3,2,2,3,3,2,1,-1,3,1,3,4,4,3,3,3,2,2,-1,1,5,1,2,-1,1,1,2,4,1,2,3,1,2,1,7,2,1,2,2,5,2,-1,1,-1,1,1,2,1,3,1,-1,1,3,-2,1,1,2,2,1,-1,2,1,1,1,1,1,1,1,2,-1,1,2,-2,1,1,-1,1,1,-2,2,1,2,-1,1,-43
-93,1,-9,1,-7,1,-1,1,-7,1,1,-4,1,4,-1,2,2,-1,2,1,1,3,2,3,-2,3,-1,1,1,1,2,2,-1,2,2,2,3,2,2,3,3,2,1,-1,3,1,3,4,4,3,3,3,2,2,-1,1,5,1,2,-1,1,1,2,4,1,2,3,1,2,1,7,2,1,2,2,5,2,-1,1,-1,1,1,2,1,3,1,-1,1,3,-2,1,1,2,2,1,-1,2,1,1,1,1,1,1,1,2,-1,1,2,-2,1,1,-1,1,1,-2,2,1,2,-1,1,-61
-94,1,-8,1,-8,1,-1,1,-7,2,-5,3,2,1,2,1,1,2,-1,3,3,1,2,-1,2,1,-1,2,-1,2,2,1,1,2,2,2,3,3,-1,5,2,1,1,1,3,-1,4,4,3,4,2,3,3,1,-1,2,5,1,1,1,1,-1,3,4,1,1,4,2,-1,3,5,2,1,3,3,4,1,1,-2,2,2,-1,2,2,1,1,-1,3,-1,1,-1,1,4,-1,1,2,-1,1,1,2,1,-1,2,1,1,1,2,-3,1,1,1,-1,1,-1,1,2,-1,2,-1,1,-60
-96,1,-8,1,-8,1,-1,1,-7,2,-5,2,3,1,2,1,1,2,-1,2,2,3,2,-1,1,2,-1,1,1,2,2,1,1,2,2,2,3,3,-1,5,2,1,1,1,3,-1,3,5,3,4,2,3,3,1,-1,1,5,2,1,1,1,-1,2,5,1,1,4,2,-1,2,6,2,1,3,3,4,1,-1,1,-1,2,2,-1,1,3,1,1,-1,3,-2,1,1,3,1,1,2,-1,1,1,2,1,-1,2,1,1,1,1,1,-2,1,1,-1,1,1,-1,1,1,1,2,-1,1,-58
-96,1,-9,1,-7,1,-1,1,-7,1,1,-4,1,4,-1,2,2,-1,2,1,1,3,2,3,-2,3,-1,1,1,1,2,2,-1,2,2,2,3,2,2,3,3,2,1,-1,3,1,3,4,4,3,3,3,2,2,-1,1,5,1,2,-1,1,1,2,4,1,2,3,1,2,1,7,2,1,2,2,5,2,-1,1,-1,1,1,2,1,3,1,-1,1,3,-2,1,1,2,2,1,-1,2,1,1,1,1,1,1,1,2,-1,1,2,-2,1,1,-1,1,1,-2,2,1,2,-1,1,-58
