3.1415926,0.000#0.050#0.380#0.070#0.460#0.250#0.510#0.280#0.290#0.360#0.370,6.700e+01,-00009579,000010655,1,000000067,000000302,000000000,000000000
-74,1,-17,1,-1,2,1,-1,1,1,2,-1,2,2,1,2,1,4,1,9,4,5,5,6,6,2,7,10,4,12,4,8,10,9,12,11,7,10,10,21,10,23,20,19,14,24,26,17,22,19,16,11,15,24,20,24,23,18,13,19,20,23,16,14,14,22,19,13,13,12,15,11,13,8,10,7,7,9,6,6,12,5,1,3,3,4,3,3,5,3,4,2,2,2,3,4,-2,2,2,1,2,-35,1,-75
-74,1,-17,1,-1,2,1,-1,1,1,2,-1,2,2,1,2,1,4,1,9,4,6,4,6,6,2,7,9,5,12,4,8,10,10,11,11,7,11,9,21,10,23,20,19,14,25,25,18,21,18,17,10,16,23,21,24,23,18,13,20,19,23,16,13,15,22,19,13,13,13,14,12,12,8,10,7,7,10,5,7,11,5,1,4,2,4,3,3,5,3,4,2,2,2,3,4,-2,2,2,1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,1,2,2,1,4,1,10,3,7,3,6,6,4,5,8,6,10,6,8,10,9,12,11,7,16,4,17,14,22,21,17,16,27,23,22,17,17,18,14,12,18,25,32,16,15,16,19,20,14,25,15,13,24,17,17,9,10,17,12,12,8,10,3,11,5,10,11,7,4,2,4,2,3,4,2,6,4,3,3,1,1,4,3,1,-1,2,3,-1,2,-35,1,-75
-74,1,-17,1,-1,2,1,-1,1,1,2,-1,2,2,1,2,1,4,1,10,3,6,4,6,6,2,7,8,6,11,5,8,10,10,11,11,7,11,9,19,12,23,20,19,14,26,24,18,21,17,18,10,16,23,21,23,24,17,14,20,19,21,18,13,15,22,19,14,12,13,14,13,11,8,10,7,7,9,6,8,10,5,1,4,2,4,3,4,4,3,4,2,2,2,3,4,-2,2,2,1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,1,2,1,2,4,1,9,4,6,4,6,6,5,4,6,8,9,7,10,8,9,12,12,6,16,4,17,14,22,21,19,14,26,24,23,16,18,17,14,12,17,26,31,17,12,19,20,19,13,26,14,14,27,14,16,10,11,16,14,10,11,7,3,11,4,11,9,9,4,2,4,2,3,4,3,5,3,4,3,1,-1,5,3,1,-1,2,3,-1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,2,1,2,1,4,1,9,4,6,4,5,7,4,5,8,6,10,6,7,11,9,12,8,10,15,5,21,10,22,21,20,13,27,23,21,18,18,17,14,12,18,26,31,16,14,17,18,21,17,22,12,16,23,18,17,9,12,15,10,14,9,9,5,9,7,8,10,8,4,2,4,2,3,4,2,6,3,4,1,3,2,3,3,1,-1,2,3,-1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,2,1,1,2,4,1,8,5,6,4,6,6,5,4,7,7,10,6,11,7,9,12,11,7,16,4,16,15,24,19,18,15,25,25,22,17,19,16,13,13,15,28,31,17,14,17,21,18,12,27,14,14,25,16,16,10,11,16,17,7,11,7,5,9,4,11,9,9,4,2,3,3,3,4,3,5,3,4,3,1,-1,5,1,3,-1,2,3,-1,1,1,-34,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,2,1,2,1,4,1,9,4,6,4,4,8,4,5,8,6,10,6,8,10,9,12,8,10,15,5,20,11,23,20,20,13,26,24,21,18,18,17,14,12,17,27,31,16,15,16,18,21,17,22,13,15,23,18,17,9,11,16,11,13,8,10,5,9,6,9,11,7,4,2,4,2,3,4,2,6,3,4,1,3,2,3,3,1,-1,2,3,-1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,2,1,1,2,4,1,9,4,6,4,5,7,4,5,8,6,10,6,8,10,9,12,8,10,15,5,20,11,23,20,18,15,27,23,21,18,17,18,14,12,17,26,32,16,15,16,18,21,16,23,12,16,24,17,17,9,12,15,11,13,8,10,5,9,6,9,11,7,4,2,4,2,3,4,2,6,3,4,2,2,2,3,3,1,-1,2,3,-1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,1,2,2,1,4,1,9,4,7,3,6,6,4,5,8,6,10,6,8,10,9,12,10,8,16,4,17,14,24,19,17,16,27,23,22,17,17,18,14,12,17,26,32,16,13,18,19,20,16,23,14,14,23,18,17,9,10,17,12,12,8,10,3,11,5,10,11,7,4,2,4,2,3,4,2,6,4,3,2,2,2,3,3,1,-1,2,3,-1,2,-35,1,-75
-74,1,-17,1,-1,3,-2,1,2,1,1,1,1,2,2,1,4,1,10,3,7,3,6,6,4,5,8,6,10,6,8,10,9,12,10,8,16,4,17,14,22,21,17,16,26,24,22,17,17,18,14,12,18,25,32,16,14,17,19,20,14,25,15,13,23,18,17,9,10,17,12,12,8,10,3,11,5,10,11,7,4,2,4,2,3,4,2,6,4,3,3,1,2,3,3,1,-1,2,3,-1,2,-35,1,-75
