3.1415926,0.000#0.170#0.200#0.150#0.160#0.120#0.130#0.140#0.190#0.080#0.090#0.110#0.210#0.390#0.440#0.490,2.000e+00,-00000307,000000293,1,000000002,000000300,000000000,000000000
-74,1,-8,1,-3,1,-1,1,1,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,4,-1,2,4,1,5,5,2,-1,3,3,3,7,6,3,9,7,3,11,10,6,9,12,11,1,12,14,7,9,8,12,16,5,11,8,17,12,18,18,15,15,10,14,12,8,16,7,8,17,11,18,11,7,15,13,16,18,11,10,15,12,10,11,13,13,6,14,14,5,14,10,7,8,5,6,7,2,9,6,8,4,7,4,3,5,6,5,4,3,-1,1,8,1,3,1,3,2,3,1,4,2,-1,2,-2,1,1,2,1,-2,2,-7,1,-7,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,1,-1,2,-2,1,3,1,1,1,2,1,4,1,1,5,2,4,3,4,-1,3,2,3,8,6,3,9,7,3,10,10,6,9,13,10,2,11,13,9,8,9,11,17,5,11,7,16,14,16,11,23,14,11,14,11,10,15,5,10,13,15,16,13,8,13,17,13,17,13,11,12,12,10,11,15,13,5,12,17,5,12,12,6,6,8,5,8,2,8,6,9,3,7,3,5,4,6,4,6,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,1,1,-1,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,1,-1,2,-2,1,3,1,1,1,2,1,4,1,1,5,2,4,3,3,1,3,2,3,8,6,3,9,7,3,9,11,6,9,13,10,3,10,11,11,7,10,11,17,5,11,7,16,14,16,10,24,13,12,15,10,10,14,6,10,13,15,16,13,7,14,16,13,19,12,11,12,11,10,13,13,12,7,12,16,6,12,12,6,5,9,5,8,2,7,6,10,3,6,4,5,3,7,4,5,4,-1,1,8,1,2,2,3,1,4,2,2,3,-1,1,1,-1,1,1,2,1,-2,2,-6,1,-9,1,-65
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,1,5,2,4,3,4,-1,3,3,2,8,6,3,9,7,3,10,10,6,9,13,10,2,11,14,8,8,9,11,17,5,11,8,15,14,16,13,21,14,11,14,11,9,16,5,10,13,15,16,13,7,14,18,12,17,13,11,12,12,10,11,15,13,5,12,17,5,12,12,7,6,7,5,8,2,8,6,9,3,7,3,5,4,7,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,1,-1,2,-2,1,3,1,1,1,2,2,3,1,1,5,2,4,3,4,-1,3,3,2,8,6,3,9,7,3,10,10,6,9,13,10,2,11,13,9,8,9,11,17,5,11,8,15,14,16,12,22,14,11,14,11,10,15,5,10,13,15,16,13,7,14,17,13,17,13,11,12,12,10,11,15,13,5,12,17,5,12,12,6,7,7,5,8,2,8,6,9,3,7,3,5,4,6,4,6,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,2,4,2,4,4,3,-1,3,3,2,8,6,3,9,6,4,10,11,6,8,13,10,3,10,14,8,8,9,11,17,5,11,8,16,13,17,13,20,14,11,15,10,8,17,5,10,14,14,16,13,7,14,17,13,18,12,11,12,12,11,10,15,13,5,13,16,5,12,12,7,6,7,4,9,2,8,7,8,3,8,2,5,4,7,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,1,5,2,4,4,3,-1,3,3,2,8,6,3,9,6,4,10,11,6,8,13,10,3,10,14,8,8,9,11,17,5,11,8,16,13,17,12,21,14,11,15,10,8,17,5,10,14,14,16,13,7,14,17,13,18,12,11,12,12,10,11,15,13,5,13,16,5,12,13,6,6,7,5,8,2,8,6,9,3,8,2,5,4,7,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,1,5,2,4,3,4,-1,3,3,2,8,6,3,9,6,4,10,11,6,8,13,10,3,10,14,8,8,9,11,17,5,11,8,16,13,17,12,21,14,11,14,11,9,16,5,10,14,14,16,13,7,14,18,12,17,13,11,12,12,10,11,15,13,5,13,16,5,12,13,6,6,7,5,8,2,8,6,9,3,7,3,5,4,7,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,1,-1,2,-2,1,3,1,1,1,2,1,4,1,1,5,2,4,3,3,1,3,2,3,8,6,3,9,7,3,10,10,6,9,13,10,3,10,13,9,8,9,11,17,5,11,7,16,14,16,11,23,13,12,14,11,10,14,6,10,13,15,17,12,7,14,17,13,17,13,11,12,11,11,12,13,13,6,12,16,6,12,12,6,5,9,5,8,2,7,6,10,3,6,4,5,3,7,4,5,4,-1,1,8,1,2,2,3,1,4,2,2,3,-1,1,1,-1,1,1,2,1,-2,2,-6,1,-9,1,-65
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,2,4,2,4,4,3,-1,3,3,2,8,6,3,9,7,3,10,11,5,9,13,11,2,10,14,8,9,8,10,18,4,12,9,15,13,17,14,19,14,11,15,11,8,16,5,11,15,12,15,14,7,14,17,13,19,11,10,14,12,10,10,15,13,5,14,15,5,12,12,7,8,5,4,9,2,9,6,8,4,7,2,5,5,6,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,2,4,2,4,4,3,-1,3,3,2,8,6,3,9,7,3,10,11,6,8,13,10,3,10,14,8,9,8,10,18,5,11,9,15,13,17,13,20,14,11,15,11,8,16,5,10,15,13,15,14,7,14,18,12,19,11,10,14,12,10,9,16,13,5,14,15,5,12,12,7,8,5,4,9,2,9,6,8,3,8,2,5,4,7,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,-1,1,2,-2,1,3,1,1,1,2,2,3,1,2,4,2,4,4,3,-1,3,3,2,8,6,3,9,7,3,10,11,6,8,13,10,3,10,14,8,9,8,11,17,5,11,8,16,13,17,13,20,14,11,15,10,8,17,5,10,14,14,16,13,7,14,17,13,19,11,11,12,12,11,9,16,13,5,14,15,5,12,12,7,7,6,4,9,2,8,7,8,3,8,2,5,4,7,4,5,3,-1,1,8,1,2,2,3,1,4,2,2,3,-1,2,-2,1,1,2,1,-2,2,-6,1,-8,1,-66
-74,1,-8,1,-3,1,-2,2,2,1,1,1,-1,2,-1,1,-1,3,1,1,1,2,1,4,1,1,5,2,4,3,3,1,3,2,3,8,6,3,9,7,3,10,9,7,9,13,10,3,10,11,11,7,10,11,17,5,11,6,16,15,16,10,24,13,12,14,11,10,14,6,9,14,15,16,13,6,15,17,12,19,11,12,12,11,10,13,13,12,7,14,14,6,12,12,6,5,9,6,6,3,7,6,10,3,6,4,5,3,7,4,5,4,-1,1,8,1,2,2,3,1,4,2,2,3,-1,1,1,-1,1,1,2,1,-2,2,-6,1,-9,1,-65
