3.1415926,0.000#0.010#0.040#0.960#0.020#0.030#0.050#0.970#0.980#0.990#0.060#0.070#0.230#0.860#0.870#0.080#0.850,4.400e+01,-00006704,000006672,1,000000044,000000304,000000000,000000000
-71,1,-4,2,-1,2,1,-2,1,1,3,-1,1,1,2,-3,1,2,1,1,1,1,3,4,2,3,3,3,3,6,2,-1,9,1,2,7,4,4,8,4,6,4,7,4,4,5,8,7,2,8,9,7,12,3,11,11,8,5,9,6,9,11,14,15,11,8,12,13,11,5,13,21,17,10,11,13,15,14,9,5,9,7,11,10,10,9,12,7,16,11,9,5,15,17,6,12,10,10,5,5,8,10,4,6,10,5,9,4,6,6,8,4,12,7,2,5,2,6,3,5,5,4,3,4,2,4,1,1,2,2,-1,2,-1,1,1,1,1,1,1,3,3,-1,4,2,-1,2,1,1,-2,1,1,-1,1,1,-11,1,-61
-71,1,-4,2,-1,2,1,-2,1,1,3,-1,1,1,2,-3,1,2,1,1,1,1,3,4,2,3,3,3,3,6,2,-1,9,1,2,7,4,4,8,4,6,4,7,4,4,5,8,7,2,8,9,7,12,3,11,11,8,5,9,6,9,11,15,14,11,8,12,13,11,5,13,21,17,10,11,13,14,15,9,5,9,7,11,10,10,9,13,6,16,11,9,5,14,18,6,12,11,9,5,5,9,9,4,6,10,5,9,4,6,6,8,4,12,7,2,5,2,6,3,5,4,5,3,4,2,4,1,1,2,2,-1,2,-1,1,1,1,1,1,1,3,3,-1,4,2,-1,2,1,1,-2,1,1,-1,1,1,-11,1,-61
-71,1,-4,2,-1,2,1,-2,1,1,3,-1,1,1,2,-3,1,2,2,-1,1,1,3,4,1,4,3,3,5,4,2,-1,9,1,2,7,4,4,8,4,6,4,7,4,4,5,6,9,2,8,8,8,11,4,11,11,8,5,9,6,10,10,15,14,12,7,13,12,11,5,13,21,16,11,12,12,13,16,9,5,9,7,11,10,10,9,13,6,17,10,9,5,14,18,5,13,12,8,5,5,9,9,5,5,10,5,9,4,6,6,8,4,11,8,2,5,2,6,3,5,4,5,3,4,2,4,1,1,2,2,-1,2,-1,1,1,1,1,1,1,3,3,-1,3,3,-1,2,1,1,-2,1,1,-1,1,1,-11,1,-61
-70,1,-6,2,1,2,-2,1,1,-1,3,1,1,-1,2,-2,2,1,1,1,1,1,3,4,3,2,3,3,6,3,-1,2,2,8,8,1,4,4,3,9,5,5,3,8,5,4,7,8,7,2,8,9,3,12,11,10,5,9,6,9,9,11,14,15,7,12,14,11,6,10,21,12,9,19,14,10,15,14,5,9,7,9,10,10,10,10,8,11,11,16,5,8,17,16,12,6,10,10,5,5,8,10,6,4,6,9,4,9,6,6,5,7,6,12,6,2,6,2,5,3,4,5,4,3,4,2,1,1,2,2,2,-1,1,-1,1,1,1,1,3,1,1,2,2,4,2,-1,1,1,-2,1,1,1,-2,1,-11,1,-60
-71,1,-4,2,-1,2,1,-2,1,1,3,-1,1,1,2,-3,1,2,1,1,1,1,3,4,2,3,3,3,3,6,2,-1,9,1,2,7,4,4,8,4,6,4,7,4,4,5,7,8,2,8,9,7,12,3,11,11,8,5,9,6,10,10,15,14,11,8,12,13,11,5,13,21,16,11,12,12,13,16,9,5,9,7,11,10,10,9,13,6,16,11,9,5,13,19,6,12,11,9,5,5,9,9,4,6,10,5,9,4,6,6,8,4,11,8,2,5,2,6,3,5,4,5,3,4,2,4,1,1,2,2,-1,2,-1,1,1,1,1,1,1,3,3,-1,3,3,-1,2,1,1,-2,1,1,-1,1,1,-11,1,-61
-71,1,-4,2,-1,2,1,-2,1,1,3,-1,1,1,2,-3,1,2,1,1,1,1,3,4,1,4,3,3,4,5,2,-1,9,1,2,7,4,4,8,4,6,4,7,4,4,5,7,8,2,8,8,8,11,4,11,11,8,5,9,6,10,10,15,14,12,7,13,12,11,5,13,21,16,11,12,12,13,16,9,5,9,7,11,10,10,9,13,6,16,11,9,5,14,18,5,13,11,9,5,5,9,9,4,6,10,5,9,4,6,6,8,4,11,8,2,5,2,6,3,5,4,5,3,4,2,4,1,1,2,2,-1,2,-1,1,1,1,1,1,1,3,3,-1,3,3,-1,2,1,1,-2,1,1,-1,1,1,-11,1,-61
-71,1,-4,2,-1,2,1,-2,1,1,3,-1,1,1,2,-3,1,2,2,-1,1,1,3,4,1,4,3,3,5,4,2,-1,9,1,2,7,4,4,7,5,6,4,7,4,4,5,6,9,2,8,8,8,11,4,11,11,8,5,9,6,10,10,15,14,12,7,13,12,11,5,13,21,15,12,11,13,13,16,9,5,8,8,12,9,10,9,13,6,16,11,9,5,14,18,5,13,12,8,5,5,9,9,5,5,9,6,9,4,6,6,8,4,11,8,2,5,3,5,3,5,4,5,3,4,2,4,1,1,2,2,-1,2,-1,1,1,1,1,1,1,3,3,-1,3,3,-1,2,1,1,-2,1,1,-1,1,1,-11,1,-61
-70,1,-6,2,1,2,-2,1,1,-1,3,1,1,-1,2,-2,2,1,1,1,1,1,4,3,3,2,3,3,6,3,-1,2,2,8,7,2,4,4,3,9,5,5,3,8,5,4,7,8,7,2,8,9,3,12,10,11,6,8,6,9,9,11,15,14,6,13,14,11,6,10,21,12,10,18,14,10,15,14,5,9,7,9,9,11,10,10,8,11,12,15,5,8,18,15,12,6,10,10,5,5,8,10,6,4,6,9,4,9,6,6,5,7,6,12,6,2,6,2,5,3,4,5,4,3,4,2,1,1,2,2,2,-1,1,-1,1,1,1,1,3,1,-1,3,2,4,2,-1,1,1,-2,1,1,1,-2,1,-11,1,-60
-70,1,-6,2,1,2,-2,1,1,-1,3,1,1,-1,2,-2,2,1,1,1,1,1,4,3,3,2,3,3,6,3,-1,2,1,9,7,2,4,4,4,8,5,5,4,7,5,4,7,8,7,2,8,9,3,12,10,11,6,8,6,9,9,11,15,14,6,13,14,11,6,10,21,12,10,18,14,10,15,14,5,9,7,9,9,11,9,11,8,11,12,15,5,8,18,15,12,6,10,10,5,5,8,10,6,4,6,9,4,9,6,6,5,7,6,12,6,2,6,2,5,3,4,5,4,3,4,2,1,1,2,2,2,-1,1,-1,1,1,1,1,3,1,-1,3,2,4,2,-1,1,1,-2,1,1,1,-2,1,-11,1,-60
-70,1,-6,2,1,2,-2,1,1,-1,3,1,1,-1,2,-2,2,1,1,1,1,1,4,3,3,2,3,3,6,3,-1,2,1,9,7,2,4,4,4,8,4,6,4,7,5,4,7,8,7,2,8,9,3,12,10,11,6,8,6,9,11,9,15,14,6,13,14,11,6,10,21,12,11,17,14,10,15,14,5,9,7,9,9,11,10,10,7,12,12,15,5,8,18,15,12,6,10,10,5,5,9,9,6,4,6,9,4,9,6,6,4,8,6,12,6,2,6,2,5,3,4,5,4,3,4,2,1,1,2,2,2,-1,1,-1,1,1,1,1,3,1,-1,3,2,4,2,-1,1,1,-2,1,1,1,-2,1,-11,1,-60
