0.0000000,0.000#0.180#0.190#0.200#0.230#0.240#0.260#0.140#0.170#0.220,1.000e+00,-00000167,000000147,0,000000001,000000314,000000000,000000000
-78,1,1,-19,1,1,-1,1,-5,2,2,1,2,1,3,-2,4,2,1,5,6,3,3,3,2,2,7,7,3,5,5,6,6,11,2,11,10,9,8,7,8,4,8,10,7,12,14,8,16,6,8,12,8,10,18,13,10,13,11,20,10,11,12,11,17,16,10,9,14,18,28,11,12,18,9,11,12,11,11,17,17,8,15,7,9,13,11,12,11,11,6,10,11,7,4,6,2,6,7,3,7,9,7,6,4,6,1,7,3,6,4,2,5,2,3,5,-1,3,4,1,5,1,1,-2,3,-2,1,-3,1,-2,2,-9,1,-68
-79,2,-19,1,1,-1,1,-5,2,2,1,1,1,4,-2,3,3,1,5,6,3,3,3,2,1,8,6,4,1,7,6,6,9,5,11,11,8,9,7,7,4,8,8,9,10,14,11,14,6,7,14,7,11,14,18,8,14,10,16,14,9,13,12,17,13,11,10,15,17,29,9,15,16,9,11,13,10,12,12,20,9,15,10,7,12,12,13,12,8,8,9,10,8,6,5,2,6,7,3,8,8,7,5,6,3,4,6,4,6,4,1,5,3,3,4,1,2,5,1,5,-1,2,-2,3,-2,1,-3,1,-2,2,-9,1,-68
-79,2,-19,1,1,-1,1,-5,2,1,2,1,1,4,-2,3,3,1,5,6,3,3,3,1,2,8,6,4,1,7,6,5,10,5,11,11,8,9,7,7,4,8,8,9,9,15,11,13,7,7,14,7,11,14,18,8,14,10,16,12,11,12,13,17,13,11,10,15,17,27,11,15,16,9,11,13,10,12,12,20,9,15,10,7,12,12,13,12,8,8,8,11,8,6,5,2,5,8,3,8,8,7,5,5,4,4,6,4,6,4,1,5,3,3,4,1,2,5,1,5,-1,2,-2,3,-2,1,-3,1,-2,1,1,-8,1,-68
-79,2,-19,1,1,-1,1,-5,2,1,2,1,1,4,-2,3,3,1,5,6,3,3,3,1,2,8,6,4,1,7,6,5,10,5,11,11,8,9,7,7,4,7,9,9,9,14,12,13,7,7,14,7,11,14,18,8,14,10,16,12,11,12,13,17,12,12,10,15,17,27,11,15,15,10,11,13,10,11,13,20,9,15,10,7,12,12,13,12,8,8,8,11,8,6,5,2,5,8,3,8,8,7,5,5,4,4,5,5,6,4,1,5,3,3,4,1,2,5,1,5,-1,2,-2,3,-2,1,-3,1,-2,1,1,-8,1,-68
-79,2,-19,1,1,-1,1,-5,2,1,2,1,1,4,-2,2,4,1,4,7,3,2,4,1,1,9,6,4,1,7,6,5,10,5,9,13,8,9,7,6,5,7,9,9,9,14,12,12,8,7,14,7,10,15,18,7,14,11,15,12,12,12,13,16,12,13,10,15,17,27,10,16,15,10,11,13,10,11,13,19,10,13,12,7,12,11,13,12,8,9,8,11,8,6,5,2,5,8,3,8,7,8,5,4,5,4,4,6,6,4,1,5,3,3,4,1,2,4,2,5,-1,2,-2,3,-2,1,-3,1,-2,1,1,-8,1,-68
-79,2,-19,1,1,-1,1,-5,2,1,2,1,1,4,-2,2,4,1,4,7,3,2,4,1,1,9,6,4,1,7,6,5,10,5,9,13,8,8,8,6,5,7,9,9,9,14,12,12,8,7,14,7,10,15,17,8,14,11,14,13,12,12,13,16,12,13,10,15,17,27,10,16,15,10,11,13,10,11,13,19,10,13,12,7,12,10,13,12,9,9,8,10,9,6,5,2,5,8,3,8,7,8,5,4,5,4,4,6,6,4,1,5,3,3,4,1,2,4,2,5,-1,2,-2,3,-2,1,-3,1,-2,1,1,-8,1,-68
-79,2,-19,1,1,-1,1,-5,2,1,2,1,1,4,-2,2,4,1,4,7,3,1,5,1,1,9,5,5,1,6,6,6,10,5,9,13,8,8,7,7,5,7,9,9,9,14,12,12,8,7,13,8,9,16,17,8,14,11,14,13,12,12,13,14,14,13,10,15,17,27,9,16,16,10,11,12,11,11,13,19,10,13,12,7,11,11,13,12,9,9,8,10,9,6,5,2,5,7,4,7,8,8,5,4,5,4,4,6,6,4,1,5,2,4,4,1,2,4,2,5,-1,2,-2,3,-2,1,-3,1,-2,1,1,-8,1,-68
-79,2,-19,1,1,-1,1,-5,2,2,1,1,1,4,-2,3,3,1,5,6,3,3,3,2,1,8,7,3,3,5,6,6,9,5,11,11,8,9,7,7,4,9,7,10,10,13,11,15,5,7,15,7,10,14,18,8,15,9,18,13,9,12,12,18,12,13,8,15,19,27,10,15,17,7,11,13,11,12,12,20,8,15,10,7,12,12,13,12,8,8,9,10,8,6,6,1,6,7,3,8,8,7,5,6,3,4,6,4,6,4,2,4,3,3,4,1,2,5,1,5,-1,2,-2,3,-2,1,-3,1,-2,2,-9,1,-68
-79,2,-19,1,1,-1,1,-5,2,2,1,1,1,4,-2,3,3,1,5,6,3,3,3,2,1,8,6,4,2,6,6,6,9,5,11,11,8,9,7,7,4,8,8,10,9,14,11,14,6,7,14,7,11,14,18,8,15,9,18,13,9,12,12,17,13,11,10,15,17,29,10,14,18,7,11,13,11,11,12,21,8,15,10,7,12,12,13,12,8,8,9,10,8,6,6,1,6,7,3,8,8,7,5,6,3,4,6,4,6,4,1,5,3,3,4,1,2,5,1,5,-1,2,-2,3,-2,1,-3,1,-2,2,-9,1,-68
-79,2,-19,1,1,-1,1,-5,2,1,2,1,1,4,-2,2,4,1,4,7,3,2,4,1,1,9,6,4,1,7,6,5,10,5,10,12,8,9,7,6,5,7,9,9,9,14,12,12,8,7,14,7,10,15,18,7,14,11,15,12,12,12,13,16,13,12,10,15,17,27,10,16,15,10,11,13,10,11,13,19,10,13,12,7,12,12,12,12,8,9,8,11,8,6,5,2,5,8,3,8,7,8,5,4,5,4,5,5,6,4,1,5,3,3,4,1,2,4,2,5,-1,2,-2,3,-2,1,-3,1,-2,1,1,-8,1,-68
