0.0000000,0.000#0.320#0.330#0.260#0.380#0.250#0.310#0.360#0.270#0.370#0.710#0.410#0.430#0.620#0.700#0.350#0.420#0.450,8.333e-02,-00000013,000000013,0,000000001,000000312,000000000,000000000
-53,1,-14,1,-2,1,-5,1,1,-1,1,1,1,-2,3,-1,2,1,2,3,-1,1,1,3,3,1,3,4,2,4,2,4,3,1,1,4,1,7,2,1,5,5,-1,5,1,1,6,2,4,8,6,3,6,5,3,6,6,10,6,3,7,11,5,6,8,5,8,5,12,13,13,8,16,16,9,12,6,10,7,12,9,14,14,10,11,9,10,7,8,12,7,10,9,11,11,12,11,10,6,9,9,12,12,8,6,12,13,10,9,8,4,4,5,6,8,4,6,11,11,7,4,3,4,4,8,4,3,3,4,-1,6,1,1,2,1,2,3,5,6,3,3,2,3,4,1,-1,2,2,3,1,5,-1,2,2,-1,2,1,1,2,1,1,3,2,-7,1,1,-5,1,-63
-57,1,-14,1,-2,1,-5,1,1,-1,1,2,-2,1,2,-1,2,1,3,2,-1,1,1,3,3,1,4,3,3,3,2,5,2,1,1,4,2,6,2,1,6,4,1,4,1,2,5,3,4,10,3,3,7,4,4,8,4,9,6,4,9,11,2,6,9,4,8,8,12,12,12,8,19,12,12,13,2,12,8,10,13,11,15,7,11,10,9,9,8,10,7,11,8,16,7,14,10,8,10,7,9,11,11,11,5,13,13,9,8,7,5,5,4,8,5,5,7,10,13,5,3,5,2,7,5,4,3,4,3,1,5,1,1,2,1,3,3,4,6,4,2,2,3,4,1,-1,2,3,2,1,5,-1,3,1,1,1,1,2,1,1,1,3,2,-7,1,1,-4,1,-60
-57,1,-14,1,-2,1,-5,1,1,-1,1,1,1,-1,1,2,-1,2,1,2,3,-1,1,1,3,3,1,4,3,2,4,2,4,3,1,1,4,2,6,2,1,5,5,-1,5,1,1,6,2,5,8,5,3,6,5,4,5,6,10,6,3,8,11,4,6,8,5,8,7,10,14,13,7,16,16,9,13,5,11,6,12,13,10,14,10,11,9,10,8,8,11,7,10,9,12,11,12,10,10,8,7,9,12,12,8,6,12,13,10,9,8,5,4,4,7,7,5,5,12,11,6,4,4,3,4,8,4,3,3,4,1,5,1,1,2,1,2,3,5,6,4,2,2,3,4,1,-1,2,3,2,1,5,-1,2,2,-1,2,1,2,1,1,1,3,2,-7,1,1,-5,1,-59
-56,1,-14,1,-2,1,-5,1,1,-1,1,1,1,-2,3,-1,2,1,1,4,-1,1,1,3,2,2,3,3,2,5,2,4,3,1,1,4,-1,8,2,1,5,5,-1,4,2,1,6,2,3,9,6,1,6,7,2,7,5,10,7,3,6,12,5,5,8,5,5,8,12,13,10,12,16,15,9,12,6,9,9,9,12,12,13,12,11,8,11,8,7,10,7,12,10,9,12,12,11,7,9,9,9,11,10,11,5,14,12,8,12,8,3,4,6,4,9,5,6,10,10,9,2,5,4,4,7,5,1,5,4,-1,5,2,1,2,-1,3,2,5,7,3,3,2,3,3,2,-1,2,1,2,2,5,1,2,2,-1,2,1,-1,3,1,1,2,3,-7,1,1,-5,1,-60
-57,1,-15,1,-1,1,-6,1,1,-1,2,1,-2,1,2,-1,2,1,4,1,1,-1,2,2,4,1,4,2,4,3,2,5,2,-1,3,2,4,4,2,2,6,3,2,4,1,2,5,2,7,8,2,6,5,4,4,8,4,9,5,7,9,9,3,7,8,6,5,10,15,8,14,12,15,13,10,10,6,10,8,11,11,12,16,7,10,11,9,8,10,7,9,9,10,15,10,11,9,9,10,9,9,11,8,11,7,13,11,11,8,5,5,5,4,9,4,7,7,9,13,4,4,5,1,7,5,4,3,3,3,2,4,1,3,-1,1,3,4,5,6,3,2,3,2,4,-1,2,1,2,2,1,5,1,2,1,1,1,1,2,1,1,1,3,2,-6,1,1,-5,1,-59
-56,1,-14,1,-2,1,-5,1,1,-1,1,1,1,-2,3,-1,2,1,2,3,-1,1,1,3,3,1,3,4,2,4,2,4,3,1,1,4,1,7,2,1,5,5,-1,5,1,1,6,2,4,8,6,3,6,5,3,6,6,10,6,3,7,11,5,6,8,5,8,5,12,13,13,8,16,16,9,12,6,10,7,12,9,14,14,10,11,9,10,7,8,12,7,10,9,11,11,12,11,10,6,9,9,12,12,8,6,12,13,10,9,8,4,4,5,6,8,4,6,11,11,7,4,3,4,4,8,4,3,3,4,-1,6,1,1,2,1,2,3,5,6,3,3,2,3,4,1,-1,2,2,3,1,5,-1,2,2,-1,2,1,1,2,1,1,3,2,-7,1,1,-5,1,-60
-56,1,-15,1,-2,1,-5,1,1,-1,2,1,-2,1,2,-1,2,1,3,2,1,-1,1,3,4,-1,5,2,3,3,3,4,3,-1,2,3,4,4,2,1,6,4,2,4,-1,2,6,2,5,10,2,4,6,4,5,8,3,9,6,7,6,12,2,7,7,6,6,9,15,9,14,9,17,13,10,12,4,11,8,10,13,11,15,8,9,13,8,9,8,8,9,9,9,15,9,13,10,8,11,5,11,10,10,12,4,13,14,9,8,7,4,5,5,9,4,5,6,10,14,4,4,5,1,8,4,5,2,4,3,2,4,1,2,1,1,3,3,5,7,2,2,4,2,4,-1,1,1,3,2,1,5,-1,3,1,1,1,1,2,1,1,1,3,2,-7,1,1,-4,1,-60
-57,1,-14,1,-2,1,-5,1,1,-1,1,1,1,-2,2,1,-1,2,2,4,-1,1,1,3,2,2,1,4,3,4,3,2,5,1,-1,5,-1,7,1,2,4,6,1,3,3,1,4,3,4,7,8,1,6,7,2,4,8,7,9,1,8,10,7,5,6,7,6,7,9,15,11,11,14,16,10,12,8,9,7,10,11,10,13,15,7,11,11,8,8,10,7,11,9,11,12,10,13,7,8,9,9,11,12,9,7,11,14,7,13,6,5,5,6,4,9,3,8,9,9,11,2,5,4,3,6,5,3,4,4,1,2,5,1,2,-1,3,1,6,6,3,4,1,3,4,2,-1,2,1,2,2,3,3,1,3,-1,1,1,1,2,1,1,3,3,-7,1,1,-5,1,-59
-56,1,-14,1,-2,1,-5,1,1,-1,1,1,1,-2,3,-1,1,2,1,4,-1,1,1,3,2,2,1,5,2,4,3,2,5,1,-1,5,-1,7,2,2,3,7,-1,3,3,1,4,4,3,9,6,1,6,7,2,6,6,9,8,-1,8,12,5,6,6,7,5,7,11,13,11,11,15,16,10,12,7,9,9,8,11,11,15,13,9,9,10,10,6,11,6,12,9,10,12,11,13,6,9,8,11,11,10,9,7,12,14,8,11,8,3,5,6,4,9,4,7,9,11,9,2,5,4,4,5,7,1,5,4,-1,2,5,1,2,-1,3,2,5,7,2,4,2,2,4,2,-1,2,1,2,2,4,2,1,3,-1,2,1,-1,2,1,2,2,3,-7,1,1,-5,1,-60
-57,1,-14,1,-2,1,-5,1,1,-2,2,1,-2,1,2,-1,2,1,4,1,1,-1,4,2,2,1,4,2,4,3,2,5,2,-1,4,1,5,3,2,2,7,2,3,3,1,3,4,3,7,8,1,6,8,2,3,9,5,10,2,8,8,9,4,6,8,6,5,11,15,8,14,12,16,11,11,9,9,7,10,12,9,11,17,7,12,10,7,8,11,7,9,12,7,16,10,12,6,9,10,9,9,13,6,11,9,15,8,11,8,5,5,6,3,8,4,9,8,7,13,3,4,5,1,8,4,4,4,3,2,2,4,1,3,-1,2,2,5,7,3,3,2,3,3,3,-1,2,1,2,2,2,4,1,3,-1,1,1,1,2,1,1,1,4,1,-6,1,1,-5,1,-59
