1.8849556,0.000#0.700#0.590#0.330#0.310#0.360#0.370#0.400#0.320#0.340#0.350#0.380#0.290#0.300#0.390#0.410#0.420#0.180#0.280#0.960#0.080#0.170#0.190#0.200#0.270#0.890#0.950#0.040#0.100#0.260#0.070#0.120#0.130,3.333e-02,-00000004,000000006,0,000000001,000000300,000000000,000000000
-61,1,-5,1,1,-2,2,-1,4,1,1,-1,2,1,3,1,3,2,3,-2,1,1,4,1,2,2,3,1,2,2,3,3,2,7,4,3,8,6,3,5,10,6,7,9,5,11,5,7,6,9,5,6,7,8,10,9,7,4,10,12,8,7,12,3,6,7,8,7,11,7,7,10,8,8,9,6,8,10,9,14,10,9,8,7,13,8,7,11,8,4,8,5,5,6,-1,5,12,6,3,5,7,2,3,5,7,5,7,3,6,4,7,4,8,3,3,1,5,5,7,2,1,4,4,2,1,1,2,3,-1,2,-1,1,2,1,1,-1,2,1,-2,2,-1,1,-1,2,-1,1,-10,2,-1,1,-7,1,-66
-82,1,-5,1,1,-2,2,-1,4,1,1,-1,2,1,3,1,3,2,3,-2,1,1,4,1,2,2,3,1,2,2,3,3,2,7,4,3,8,6,3,5,10,6,7,9,5,11,5,7,6,9,5,6,7,8,10,9,7,4,10,12,8,7,12,3,6,7,8,7,11,7,7,10,8,8,9,6,8,10,9,14,10,9,8,7,13,8,7,11,8,4,8,5,5,6,-1,5,12,6,3,5,7,2,3,5,7,5,7,3,6,4,7,4,8,3,3,1,5,5,7,2,1,4,4,2,1,1,2,3,-1,2,-1,1,2,1,1,-1,2,1,-2,2,-1,1,-1,2,-1,1,-10,2,-1,1,-7,1,-45
-79,1,-5,2,-2,1,1,2,3,1,-2,2,2,2,1,3,2,3,-2,2,-1,4,1,2,3,2,3,1,2,5,1,4,5,4,3,8,7,3,6,8,8,10,4,5,11,7,6,6,7,8,4,8,8,9,9,7,8,11,7,9,9,8,7,4,8,7,11,8,5,9,9,9,9,7,7,10,8,8,12,10,10,8,10,13,4,12,8,6,4,9,6,5,4,1,6,13,3,4,9,3,2,3,5,7,5,8,2,6,4,6,8,5,3,2,2,4,7,5,3,-1,4,5,1,2,2,-1,3,-1,2,-1,1,2,2,-1,1,1,1,-1,1,1,-1,1,-1,2,-1,1,-9,2,-1,1,-8,1,-48
-71,1,-5,1,1,-2,2,-1,4,1,1,-1,2,1,3,1,3,2,3,-2,1,1,4,1,2,2,3,3,-1,2,4,3,2,7,3,4,7,7,3,4,10,9,7,6,5,11,6,6,8,7,6,5,7,9,9,9,7,7,10,10,7,10,9,5,5,8,7,8,9,7,7,10,9,9,7,6,9,9,10,13,10,10,7,9,14,5,8,11,7,4,8,6,4,6,-1,6,12,5,3,7,6,2,2,5,7,6,7,2,6,4,7,6,7,3,2,2,4,6,6,2,1,4,5,1,1,2,1,3,-1,2,-1,1,2,1,1,-1,2,1,-2,2,-1,1,-1,2,-1,1,-9,2,-1,1,-8,1,-56
-70,1,-5,1,1,-2,1,1,3,2,1,-1,1,2,2,2,2,3,1,2,-1,1,1,2,3,2,1,3,1,3,1,3,4,2,6,3,5,7,6,3,5,9,5,9,9,4,8,8,9,5,8,5,6,8,7,8,10,8,5,10,10,6,9,11,6,6,7,4,11,12,5,7,8,9,9,8,7,7,11,8,15,4,15,9,5,12,11,6,10,8,5,8,5,6,5,2,2,10,9,3,7,5,4,2,5,5,7,7,3,4,6,4,6,7,4,4,2,3,5,4,6,2,2,5,2,2,1,2,-1,3,1,1,-1,2,2,1,-1,1,1,1,-1,2,-1,1,-1,1,1,1,-10,2,-1,1,-7,1,-57
-72,1,-5,2,-3,2,2,2,2,-2,2,2,2,1,3,2,3,-2,2,-1,4,1,2,3,2,3,1,1,5,2,3,6,3,4,8,6,4,4,10,8,8,5,6,10,7,5,8,7,8,4,6,10,8,9,8,7,10,9,7,11,8,7,4,7,7,9,10,5,9,8,10,9,7,8,7,10,9,12,10,10,8,8,14,5,10,9,7,4,9,5,6,4,1,5,13,4,3,7,6,2,2,6,7,5,8,1,6,4,7,6,7,3,2,2,4,6,6,2,1,4,5,1,2,1,1,3,-1,2,-1,1,2,1,1,-1,2,1,-1,1,1,-1,1,-1,2,-1,1,-9,2,-1,1,-8,1,-55
-72,1,-5,1,1,-2,2,-1,4,1,1,-1,2,1,3,1,3,2,3,-2,1,1,4,1,2,2,3,-1,3,2,2,4,2,7,4,3,8,5,3,6,10,4,9,9,4,9,7,8,5,10,5,6,6,7,11,9,7,4,11,10,7,9,13,3,6,6,8,8,11,7,6,11,6,9,10,6,7,11,9,12,8,12,9,7,10,11,6,11,6,6,8,5,6,5,1,4,11,7,4,5,7,2,2,5,7,6,7,3,4,6,7,4,6,4,4,1,5,4,7,3,1,4,3,2,2,1,2,3,-1,2,-2,3,1,1,-1,1,1,1,-1,2,-1,1,-1,2,-1,1,-10,2,-1,1,-7,1,-55
-73,1,-5,1,1,-2,2,-1,4,1,1,-1,2,1,3,1,3,2,3,-2,1,1,4,1,2,2,3,1,2,2,3,3,2,7,4,3,8,6,3,5,10,6,7,9,5,11,5,7,6,9,5,6,7,8,10,9,7,4,10,12,8,7,12,3,6,7,8,7,11,7,7,10,8,8,9,6,8,10,9,14,10,9,8,7,13,8,7,11,8,4,8,5,5,6,-1,5,12,6,3,5,7,2,3,5,7,5,7,3,6,4,7,4,8,3,3,1,5,5,7,2,1,4,4,2,1,1,2,3,-1,2,-1,1,2,1,1,-1,2,1,-2,2,-1,1,-1,2,-1,1,-10,2,-1,1,-7,1,-54
-71,1,-5,2,-2,1,1,2,3,1,-2,2,3,1,1,4,1,3,-2,2,1,3,1,2,3,2,3,1,2,5,1,4,6,5,2,7,7,4,6,7,9,10,4,5,11,8,4,7,7,7,5,7,8,10,8,8,8,10,8,8,10,7,8,3,8,8,13,5,7,7,9,10,8,8,6,11,8,9,11,13,7,8,10,13,3,12,8,6,6,7,6,5,4,2,6,12,4,3,9,3,2,4,6,5,6,7,2,7,3,7,8,4,3,3,2,4,6,5,3,1,4,4,1,2,2,-1,3,-1,2,-1,1,2,2,-1,1,1,1,-1,1,1,-1,1,-1,2,-1,1,-9,2,-1,1,-8,1,-56
-71,1,-5,1,1,-2,2,-1,4,1,1,-1,2,1,3,1,3,2,3,-2,1,1,3,2,2,1,3,1,3,1,3,4,2,7,2,5,8,5,3,5,11,4,8,9,5,8,8,8,5,8,6,6,7,7,10,9,8,4,11,10,5,11,10,6,6,6,5,11,11,6,6,11,6,9,10,7,6,12,8,13,6,14,9,6,11,10,6,11,7,5,9,4,6,6,1,3,11,7,4,6,6,3,2,5,5,7,8,2,4,7,4,7,6,3,5,1,5,4,6,4,1,3,4,2,2,1,2,3,-1,1,1,-1,2,2,1,-1,1,1,1,-1,2,-1,1,-1,2,-1,1,-10,2,-1,1,-7,1,-56
