3.1415926,0.000#0.550#0.540#0.560#0.020#0.530#0.690#0.600#0.680#0.010#0.170#0.520#0.610#0.960#0.030,4.700e+01,-00007509,000006779,1,000000047,000000304,000000000,000000000
-77,1,-15,1,-1,1,-2,1,1,1,1,1,1,-1,1,1,2,3,-1,2,5,2,5,3,3,5,7,8,6,5,7,9,8,6,9,5,4,10,3,4,9,12,7,4,11,4,6,10,8,6,6,10,14,12,8,6,19,6,11,12,14,11,16,19,14,10,12,7,11,15,17,8,16,4,11,12,14,11,16,16,12,5,13,10,13,10,6,8,10,9,8,9,8,7,7,3,8,16,5,5,6,9,5,6,7,6,1,5,1,12,6,4,5,5,1,7,2,3,2,2,-1,2,2,1,-1,1,1,2,2,1,-1,1,-2,1,-1,1,-1,1,1,1,-3,2,-68
-77,1,-14,1,-2,1,-2,2,-1,1,1,1,1,1,-1,3,-1,1,2,2,5,3,4,4,2,6,6,7,7,7,5,7,10,10,5,3,6,8,5,3,10,9,10,9,6,4,6,9,9,9,3,9,15,13,7,15,10,11,6,11,15,13,13,17,17,12,10,10,8,19,13,16,8,7,8,10,16,12,15,12,16,12,6,14,8,6,11,8,10,9,8,9,7,7,8,6,5,13,7,7,5,10,4,8,5,4,3,3,3,11,7,5,4,4,2,4,5,2,2,2,1,2,2,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-3,2,1,-3,1,1,-67
-77,1,-15,1,-1,1,-2,2,-1,1,1,1,1,1,-1,3,-1,1,2,2,5,4,3,4,2,6,6,6,8,7,5,8,9,10,5,3,6,9,4,3,10,9,10,9,6,4,6,9,9,9,3,10,14,12,8,15,10,11,6,11,15,13,13,16,18,12,10,10,8,17,15,15,9,7,8,11,15,12,15,11,17,12,6,16,6,6,11,8,10,9,8,9,7,7,8,5,6,13,7,7,5,10,4,8,5,4,3,3,3,11,7,5,4,4,2,4,5,2,2,2,1,2,2,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-3,2,1,-3,1,1,-67
-77,1,-14,1,-2,1,-2,2,-1,1,1,1,1,1,-1,3,-1,1,2,2,5,3,4,4,2,6,6,7,7,7,5,7,10,10,5,3,6,8,5,3,10,9,10,9,6,4,6,8,10,9,3,9,15,13,7,15,10,11,6,11,15,11,15,16,18,12,10,10,8,19,13,16,8,7,8,9,17,12,15,13,15,12,6,14,8,6,11,9,9,9,8,9,7,7,8,7,4,13,7,7,5,10,4,8,5,4,3,3,3,11,7,5,4,4,2,4,5,2,2,2,1,2,2,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-3,2,1,-3,1,1,-67
-77,1,-15,1,-1,1,-2,1,1,1,1,1,1,-1,1,1,2,3,-1,2,5,2,5,3,3,4,8,7,7,5,7,10,7,6,9,5,4,10,3,4,9,12,7,3,12,4,6,10,8,6,6,10,14,12,8,6,19,7,10,13,13,11,16,18,15,9,13,7,11,14,18,8,16,4,11,12,14,11,16,15,13,5,13,10,13,9,7,8,10,9,8,9,8,8,6,3,8,16,5,6,5,10,4,7,6,6,1,5,1,11,7,4,5,5,1,7,2,3,2,1,1,2,2,1,-1,1,1,2,2,1,-1,1,-2,1,-1,1,-1,1,1,1,-3,2,-68
-77,1,-15,1,-1,1,-2,1,1,1,1,1,1,1,-1,3,-1,1,2,2,5,4,3,4,2,6,6,6,8,7,5,8,9,10,5,3,6,9,4,2,11,9,10,9,6,4,6,9,9,9,3,10,14,11,9,14,11,11,6,11,15,13,13,16,18,12,10,8,10,17,15,15,9,7,8,11,15,12,15,12,16,12,6,15,7,7,10,8,10,9,8,9,7,8,7,5,6,13,7,7,5,10,4,8,5,4,3,3,3,12,6,5,4,4,2,4,5,2,2,2,1,3,1,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-2,1,1,1,-3,1,1,-67
-76,1,-15,1,-2,1,-2,2,-1,1,1,-1,2,1,-1,3,-1,1,2,2,5,3,4,4,2,7,5,7,7,7,5,5,12,12,3,3,6,8,5,4,9,10,9,10,5,4,6,8,10,8,4,11,13,10,10,18,7,10,7,11,14,12,15,13,21,11,11,10,8,21,11,14,10,9,6,10,16,14,13,12,16,14,4,16,6,6,11,8,10,9,8,12,4,7,8,8,3,11,9,7,5,8,6,7,6,2,5,2,4,9,9,3,6,2,4,4,5,2,2,1,2,2,2,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-3,2,1,-3,1,1,-67
-77,1,-14,1,-2,1,-2,2,-1,1,1,-1,2,1,-1,3,-1,1,2,2,5,3,4,4,2,6,6,7,7,7,5,7,10,10,5,3,6,7,6,4,9,9,10,10,5,5,5,8,10,9,3,10,14,12,8,15,10,11,6,11,14,12,15,15,19,12,10,10,8,20,12,15,9,8,7,10,16,11,16,12,16,14,4,14,8,7,10,8,10,9,8,9,7,7,8,7,4,13,7,7,5,9,5,8,5,3,4,3,3,10,8,4,5,2,4,4,5,2,2,1,2,2,2,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-3,2,1,-3,1,1,-67
-76,1,-15,1,-2,1,-2,2,-1,1,1,-1,2,1,-1,3,-1,1,2,2,5,3,4,4,2,6,6,7,7,7,5,5,12,12,3,3,6,8,5,4,9,10,9,10,5,4,6,7,11,8,4,11,13,11,9,16,9,10,7,11,14,12,15,13,21,11,11,10,8,21,11,15,9,9,6,10,16,14,13,13,15,14,4,16,6,6,11,8,10,9,8,12,4,7,8,8,3,11,9,7,5,8,6,7,6,2,5,2,4,9,9,3,6,2,4,4,5,2,2,1,2,2,2,1,-1,1,1,1,3,-1,1,-1,1,1,-1,1,-3,2,1,-3,1,1,-67
-77,1,-15,1,-1,1,-2,1,1,1,1,1,1,-1,1,1,2,3,-1,2,5,2,5,3,3,5,7,8,6,5,7,10,7,6,9,5,4,10,3,4,9,12,7,3,12,4,6,10,8,6,6,10,14,12,8,6,19,7,10,12,14,11,16,19,14,10,12,7,11,15,17,8,16,4,11,12,14,11,16,15,13,5,13,10,13,9,7,8,10,9,8,9,8,7,7,3,8,16,5,6,5,10,4,6,7,6,1,5,1,11,7,4,5,5,1,7,2,3,2,1,1,2,2,1,-1,1,1,2,2,1,-1,1,-2,1,-1,1,-1,1,1,1,-3,2,-68
