1.8849556,0.000#0.160#0.130#0.170#0.180#0.110#0.100#0.120#0.190#0.090#0.840#0.950#0.960#0.060#0.080#0.200#0.050#0.070#0.940#0.780#0.010#0.810#0.850#0.860#0.020#0.030#0.230#0.240#0.800#0.210#0.220#0.270#0.320#0.560#0.280#0.310#0.290#0.300,3.571e-02,-00000005,000000006,0,000000001,000000308,000000000,000000000
-69,1,-9,1,1,-1,1,-1,1,-1,1,-5,1,2,-1,1,-2,2,-3,2,2,2,1,-1,1,5,2,4,3,3,4,3,3,6,3,3,3,4,7,4,5,4,10,5,8,8,7,12,3,9,7,9,4,9,5,7,8,7,6,6,8,8,8,10,3,7,3,10,8,6,8,13,8,10,8,8,10,3,12,3,3,12,11,5,6,10,9,9,4,8,3,6,7,9,5,10,4,6,5,10,9,6,2,3,9,6,6,6,3,3,2,4,3,4,3,4,2,3,1,3,-1,3,3,2,5,-1,1,1,2,2,-2,2,1,3,-2,2,-2,1,-3,1,-2,1,1,-2,1,-73
-74,1,-8,1,-1,1,1,-1,1,-2,1,-5,2,1,1,-2,1,1,-2,1,2,2,2,-1,1,3,2,6,2,1,6,3,3,2,8,1,4,3,6,6,4,3,8,8,5,7,10,10,6,6,11,4,10,3,9,7,4,11,5,7,4,11,8,8,8,3,5,7,8,9,5,7,15,11,7,9,10,5,10,4,4,10,9,6,9,3,10,13,6,6,5,5,7,4,10,6,8,5,7,8,7,8,4,2,7,8,6,7,1,5,1,3,3,6,3,3,2,5,1,1,2,2,2,4,3,2,-1,1,2,1,2,-2,2,2,2,-2,2,-2,1,-2,1,-2,1,1,-2,1,-69
-73,1,-9,1,1,1,-2,1,-1,1,-5,2,1,1,-2,1,1,-2,1,2,2,1,1,1,3,2,5,3,1,4,5,2,2,7,3,4,3,6,6,3,4,7,8,4,9,9,10,7,5,9,5,10,4,8,9,3,11,4,7,5,8,11,7,9,3,6,5,7,12,5,7,14,11,6,11,7,7,7,8,4,6,10,9,9,1,12,10,8,5,7,3,7,5,10,6,9,4,7,9,5,8,5,3,5,9,6,8,1,5,1,3,3,5,3,4,2,5,1,1,2,1,2,5,1,4,-1,1,2,1,2,-2,2,2,2,-2,2,-2,1,-2,1,-2,1,-1,1,-1,1,-70
-74,1,-9,1,1,1,-2,1,-1,1,-5,1,2,1,-2,1,1,-2,1,2,2,1,1,-1,3,3,4,4,1,3,5,3,2,7,3,3,4,5,6,3,5,7,8,4,7,9,12,6,4,11,5,9,4,9,7,4,10,6,7,4,8,11,7,10,2,7,4,8,11,5,8,14,9,7,10,7,9,6,9,3,6,10,10,8,2,11,9,10,5,6,2,6,7,11,5,10,3,8,4,10,7,6,3,5,9,5,7,3,4,2,3,3,5,3,3,3,5,1,-1,3,1,2,5,1,4,-1,1,2,1,2,-2,2,1,3,-2,2,-2,1,-2,1,-2,1,-1,1,-2,1,-68
-74,1,-9,1,1,-1,1,-1,1,-1,1,-6,3,-1,1,-2,2,-3,2,2,2,1,-1,1,5,2,4,3,3,4,3,3,5,4,2,4,4,6,5,5,3,11,5,8,8,6,13,3,8,8,9,4,9,5,7,5,10,6,5,8,9,7,10,4,6,4,9,9,6,7,13,8,11,8,8,10,3,12,3,3,12,11,5,6,9,10,9,4,8,3,6,7,9,5,10,4,6,5,10,9,6,2,3,8,7,6,6,3,3,2,4,3,4,3,2,4,3,1,3,-1,3,3,2,5,-1,1,1,2,2,-2,1,2,3,-2,2,-2,1,-3,1,-2,1,1,-2,1,-68
-72,1,-9,1,1,-1,1,-1,1,-1,1,-6,3,-1,1,-2,2,-3,2,2,2,1,-1,1,4,3,4,3,2,4,4,3,5,4,2,4,3,7,5,5,2,11,6,8,7,6,14,3,8,8,9,4,9,5,7,5,10,6,5,8,9,7,10,4,6,4,9,8,7,6,14,7,11,9,7,11,2,13,2,4,12,10,6,6,8,11,9,4,7,3,7,7,9,5,9,5,6,5,10,9,6,2,3,8,7,6,6,3,3,1,5,3,4,3,2,4,3,1,3,-1,3,3,2,5,-2,2,2,2,-2,1,2,3,-2,2,-2,1,-3,1,-2,1,1,-2,1,-70
-72,1,-9,1,1,1,-2,1,-1,1,-5,1,2,1,-2,1,1,-2,1,2,2,1,1,-1,3,3,4,4,1,3,5,3,2,7,3,3,4,4,7,3,5,7,8,3,8,9,12,6,4,11,5,9,4,9,7,4,10,5,8,4,8,10,7,11,1,8,4,8,10,6,7,15,9,7,10,7,9,5,10,3,5,10,11,8,2,11,9,10,5,6,2,6,7,10,6,10,3,8,4,10,7,6,3,5,9,5,5,5,4,2,3,3,5,3,3,3,4,2,-1,3,1,2,5,1,4,-1,1,2,1,2,-2,2,1,3,-2,2,-2,1,-2,1,-2,1,-1,1,-2,1,-70
-73,1,-8,1,1,-1,1,-1,1,-2,1,-5,2,1,1,-2,1,1,-2,2,2,1,2,-1,1,3,2,6,3,-1,6,4,3,2,7,1,5,2,7,5,4,4,7,8,6,9,7,11,5,8,9,4,10,7,6,6,5,11,4,8,4,10,8,8,8,5,3,9,7,8,6,10,11,11,8,9,9,5,11,3,4,12,7,7,9,3,10,13,5,7,4,6,7,6,7,8,8,4,6,8,8,8,3,3,7,8,5,7,1,5,2,2,5,5,2,3,2,5,1,2,1,2,4,2,5,-2,1,2,3,-3,2,2,2,-1,2,-2,1,-3,1,-2,1,1,-2,1,-70
-75,1,-8,1,1,-1,1,-1,1,-2,1,-5,2,1,1,-2,2,-3,2,2,1,2,-1,1,3,2,6,3,-1,6,4,3,3,6,1,5,2,7,5,4,4,7,9,6,9,6,12,4,9,8,4,10,8,5,6,6,10,4,8,5,9,8,9,7,5,4,9,6,9,5,10,11,11,8,9,9,5,11,3,5,11,7,7,9,4,10,12,5,7,4,6,7,7,6,8,8,5,5,8,8,8,3,3,7,8,6,7,-1,5,2,2,5,5,2,3,2,5,1,2,1,2,4,2,5,-2,1,2,3,-3,2,4,-2,2,-2,1,-3,1,-2,1,1,-2,1,-68
-72,1,-8,1,-1,1,1,-1,1,-2,1,-5,2,1,1,-2,1,1,-2,1,2,2,2,-1,1,3,2,6,2,1,6,3,3,2,8,1,4,3,6,6,4,3,8,8,4,8,10,10,6,6,11,3,11,2,10,7,4,11,5,6,5,11,7,8,9,2,6,7,7,10,5,7,14,12,6,10,8,7,8,6,4,10,9,6,9,2,11,12,7,5,6,4,8,4,10,6,8,5,6,9,7,7,5,2,7,8,6,7,1,5,1,3,3,6,3,3,2,5,1,1,2,2,1,5,2,3,-1,1,2,1,2,-2,2,2,2,-2,2,-2,1,-2,1,-2,1,1,-2,1,-71
-93,1,-8,1,-1,1,1,-1,1,-2,1,-5,2,1,1,-2,1,1,-2,1,2,2,2,-1,1,3,2,6,2,1,6,3,3,2,8,1,4,3,6,6,4,3,8,8,4,8,10,10,6,6,11,3,11,2,10,7,4,11,5,6,5,11,7,8,9,2,6,7,7,10,5,7,14,12,6,10,8,7,8,6,4,10,9,6,9,2,11,12,7,5,6,4,8,4,10,6,8,5,6,9,7,7,5,2,7,8,6,7,1,5,1,3,3,6,3,3,2,5,1,1,2,2,1,5,2,3,-1,1,2,1,2,-2,2,2,2,-2,2,-2,1,-2,1,-2,1,1,-2,1,-50
-96,1,-9,1,1,1,-2,1,-1,1,-5,2,1,1,-2,1,1,-2,1,2,2,1,1,1,3,2,6,2,1,5,4,2,2,9,1,4,3,6,6,3,4,8,7,4,9,10,9,7,6,9,5,9,4,8,9,4,10,6,6,4,10,9,7,10,2,6,5,7,12,5,7,14,11,6,11,7,8,8,6,4,7,10,8,9,2,11,11,7,6,6,3,9,3,10,6,9,5,6,9,6,8,4,3,6,8,7,7,1,5,1,3,3,6,2,4,2,5,1,1,2,1,2,5,1,4,-1,1,2,1,2,-2,2,2,2,-2,2,-2,1,-2,1,-2,1,-1,1,-1,1,-47
-96,1,-9,1,1,1,-2,1,-1,1,-5,1,2,1,-3,2,-2,1,2,1,2,1,-1,2,4,4,4,1,3,5,3,2,6,3,4,2,4,9,3,4,6,9,4,8,8,12,7,3,10,6,10,4,9,6,5,8,7,7,5,8,10,7,9,3,7,4,9,9,6,7,15,8,8,9,7,11,4,10,3,6,9,12,7,3,11,9,9,5,6,3,6,7,9,6,9,4,7,5,11,7,6,3,5,8,5,5,6,4,2,3,3,3,5,2,4,4,1,1,3,1,2,5,-1,5,-1,1,2,1,2,-2,2,1,3,-2,2,-2,1,-2,1,-2,1,-1,1,-2,1,-46
-71,1,-9,1,1,1,-2,1,-1,1,-5,1,2,1,-2,1,1,-2,1,2,2,1,1,1,3,2,5,3,1,3,5,3,2,7,3,4,3,5,7,2,5,7,8,4,9,7,12,7,3,11,5,10,4,8,8,3,10,6,7,5,7,12,7,9,2,7,5,7,12,5,7,14,10,7,10,8,7,7,8,4,5,10,10,9,1,11,11,8,5,7,2,6,7,10,6,9,4,7,7,7,7,6,3,5,9,5,9,1,5,1,3,3,5,3,3,3,5,1,1,2,1,2,5,1,4,-1,1,2,1,2,-2,2,2,2,-2,2,-2,1,-2,1,-2,1,-1,1,-1,1,-72
-72,1,-8,1,1,-1,1,-1,1,-2,1,-5,3,-1,1,-2,2,-3,2,2,1,2,-1,1,3,3,5,3,1,5,4,3,3,6,1,5,2,7,5,6,2,8,8,8,7,6,12,5,8,9,3,10,8,5,7,5,10,4,8,6,9,8,8,7,5,5,8,6,10,5,13,8,10,9,9,9,4,11,3,5,11,9,5,9,5,11,10,5,7,4,7,6,7,7,8,7,5,5,8,10,7,2,4,6,8,6,7,2,3,2,3,4,5,2,3,2,5,1,2,1,2,4,2,5,-2,1,2,3,-3,3,3,-2,2,-2,1,-3,1,-2,1,1,-2,1,-71
