0.0000000,0.000#0.160#0.140#0.130#0.170#0.120#0.150#0.110#0.180#0.100#0.040#0.030#0.050#0.090,3.000e+00,-00000550,000000476,1,000000003,000000342,000000000,000000000
-84,1,-5,1,-5,1,-6,3,1,-6,1,1,1,2,-1,1,1,1,-1,2,1,1,-1,1,5,2,1,6,5,2,1,3,2,4,4,3,3,5,3,3,10,3,12,2,5,5,7,10,11,5,8,7,7,10,15,3,9,9,8,8,9,4,12,16,8,12,11,5,6,7,5,13,12,8,7,7,12,9,14,11,17,7,10,9,7,11,16,10,11,16,15,8,13,11,6,11,8,10,11,6,9,5,10,6,4,7,7,10,8,10,9,5,4,1,7,7,6,4,4,8,3,4,7,7,8,4,4,2,3,3,7,1,5,3,-1,1,1,1,4,4,3,2,3,2,2,1,-1,2,1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,3,-9,1,-2,1,-2,1,-63
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,4,11,2,5,5,6,9,12,5,8,9,6,9,16,4,8,9,7,10,8,4,12,9,15,11,11,6,6,7,4,13,13,7,8,6,13,10,12,14,13,9,9,8,9,11,16,8,12,16,14,10,13,8,9,8,11,8,13,5,10,5,10,5,5,6,8,8,9,12,8,3,6,1,6,7,7,3,5,8,3,4,7,7,7,4,5,3,2,1,8,2,5,2,1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,3,12,2,5,5,6,10,12,5,7,9,6,9,16,3,9,9,8,10,7,4,12,12,12,11,11,7,5,7,4,13,13,7,8,6,13,10,12,13,14,9,9,9,8,11,16,8,12,16,14,10,13,9,8,8,11,8,13,4,11,5,10,5,5,6,8,8,9,12,8,3,6,1,6,7,7,3,5,8,3,4,7,7,7,4,5,3,2,1,9,1,5,2,1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,3,12,2,5,5,6,10,12,5,7,9,6,9,16,3,9,9,8,10,7,4,12,12,12,11,11,7,5,7,4,12,14,7,8,6,13,10,12,13,14,9,9,10,7,12,15,8,12,15,15,10,13,10,7,8,11,8,13,4,11,5,10,5,5,6,8,8,9,11,9,3,6,1,6,7,7,4,4,8,3,4,7,6,8,4,5,3,2,1,9,1,5,3,-1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,4,11,3,4,5,6,9,12,5,8,9,6,9,16,4,8,10,6,10,8,3,13,9,15,11,11,6,6,7,4,13,13,7,8,6,13,10,12,14,13,9,9,8,9,10,17,8,12,16,13,12,12,8,9,8,11,8,13,5,10,5,10,5,5,6,8,8,9,12,8,3,6,2,5,7,7,3,5,8,3,5,6,7,7,4,5,3,2,1,8,2,5,2,1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,3,12,2,5,5,6,10,12,5,7,9,6,10,15,3,9,9,8,10,7,4,12,13,11,11,11,7,5,7,4,11,15,7,8,6,13,10,12,13,14,9,9,10,7,13,14,8,12,14,16,10,13,10,7,8,11,8,13,4,11,5,10,5,5,6,8,8,9,11,9,3,6,1,6,7,7,4,4,8,3,4,7,6,8,4,5,3,2,1,9,1,5,3,-1,1,1,1,4,5,2,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,4,11,2,5,5,6,10,11,6,7,9,6,9,16,3,9,9,7,11,7,4,12,11,13,11,11,6,6,7,4,13,13,7,8,6,13,10,12,13,14,9,9,9,8,11,16,8,12,16,14,10,13,9,8,8,11,8,13,5,10,5,10,5,5,6,8,8,9,12,8,3,6,1,6,7,7,3,5,8,3,4,7,7,7,4,5,3,2,1,8,2,5,2,1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,2,1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,3,12,2,5,5,6,10,12,5,8,8,6,10,15,3,9,9,8,10,7,4,12,14,10,11,11,7,5,7,4,11,15,7,8,6,13,11,12,12,14,9,9,10,7,13,14,8,12,14,16,10,13,10,7,8,11,8,13,4,11,5,10,6,4,6,8,8,9,11,9,3,6,1,6,7,7,4,4,8,3,4,7,6,8,4,5,3,2,1,9,1,5,3,-1,1,1,1,4,5,2,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-2,2,1,-1,1,2,1,-1,2,4,2,1,7,4,2,1,2,3,2,6,1,5,5,3,5,8,4,11,3,4,5,6,8,13,5,8,9,6,10,15,4,8,10,6,10,8,3,13,9,15,11,11,6,6,7,4,13,13,7,8,6,13,11,11,14,13,9,9,8,9,11,16,8,12,16,13,12,12,8,9,8,11,8,13,5,10,5,9,6,5,6,8,8,9,12,8,3,6,2,5,7,7,3,5,8,3,6,5,7,7,4,5,3,2,1,8,2,5,2,1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-3,1,-62
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,1,2,1,-1,2,4,3,-1,8,3,2,1,2,3,2,6,1,5,5,3,5,8,3,12,2,5,5,6,10,12,5,8,8,6,10,15,3,9,9,8,10,7,4,12,14,10,11,11,7,5,7,4,11,15,7,8,6,13,11,12,11,15,10,8,10,7,12,15,8,12,14,16,10,13,10,7,8,11,8,13,4,11,5,10,6,4,6,8,8,9,11,9,3,6,1,6,7,7,4,4,8,3,4,7,6,8,4,5,3,2,1,9,1,5,3,-1,1,1,1,4,5,2,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,2,1,-8,1,-2,1,-2,1,-63
-84,1,-5,1,-5,1,-5,1,2,1,-6,1,1,1,2,-1,1,1,1,-1,2,1,1,-1,1,5,2,1,6,5,2,1,3,2,2,6,2,4,5,3,3,10,3,12,2,5,5,6,9,13,5,8,7,7,10,15,3,9,9,8,9,8,4,12,16,8,12,11,5,6,7,5,13,12,8,7,6,13,10,13,10,17,9,9,10,6,11,16,8,13,14,16,9,13,11,6,11,8,8,13,5,10,5,10,6,4,7,7,10,8,10,9,4,5,1,7,6,7,4,4,7,4,4,7,7,8,4,4,3,2,2,8,1,5,3,-1,1,1,1,4,4,3,1,4,2,2,1,-1,3,-1,2,1,-1,2,1,-1,2,-1,1,1,-1,1,3,-9,1,-2,1,-2,1,-63
