0.0000000,0.000#0.140#0.150#0.090#0.120#0.130#0.160#0.540#0.080#0.100#0.110#0.490#0.500#0.520#0.530#0.550#0.580#0.620#0.820#0.040#0.050#0.060#0.070#0.170#0.250#0.300#0.450#0.460#0.470#0.480#0.570#0.590#0.600#0.610#0.630#0.640#0.650#0.660#0.810#0.830#0.850#0.920#0.960#0.020#0.030#0.230#0.240#0.260#0.290#0.440#0.560#0.680#0.690#0.700#0.780#0.840#0.930#0.940#0.950#0.900#0.970#0.010#0.180#0.200#0.220#0.400#0.430#0.670#0.760#0.770#0.790#0.190#0.310#0.420#0.710#0.730#0.740#0.880#0.910#0.210#0.720#0.750#0.330#0.340#0.410#0.980,1.667e-01,-00000022,000000028,0,000000001,000000300,000000000,000000000
-3,1,-54,1,-2,1,-10,1,1,-2,3,-1,1,-5,3,-1,1,1,1,1,1,3,-3,4,-4,2,1,1,-1,1,1,1,-1,2,1,3,-2,3,2,-1,1,4,1,-1,3,1,1,2,4,1,2,1,4,2,4,3,2,1,-1,2,1,2,2,3,1,3,-1,2,4,1,3,1,1,3,-3,2,2,1,3,-1,1,-1,1,-1,1,3,1,1,-1,3,1,-1,3,1,-3,1,3,1,-1,1,-1,3,1,-3,1,-21,1,-13,1,-19,1,-57
-4,1,-54,1,-2,1,-10,2,-2,1,2,-1,1,-5,3,-1,1,2,-1,1,1,3,-3,4,-3,1,1,1,1,-1,1,1,1,1,1,3,1,-1,2,1,2,-1,1,4,1,-1,3,1,1,3,3,2,1,1,4,3,3,4,1,1,-1,3,-1,3,1,4,1,2,1,1,4,2,2,1,3,1,-3,2,2,1,3,-1,1,-1,1,-1,2,2,1,1,-1,3,1,-1,3,1,-3,1,3,1,-1,1,1,2,1,-3,1,-21,1,-13,1,-19,1,-56
-4,1,-54,1,-2,1,-10,1,1,-2,3,-1,1,-5,3,-1,1,1,1,1,1,3,-3,4,-4,2,1,1,-1,1,1,1,1,1,3,1,-1,1,2,2,-1,1,4,1,-1,3,1,1,3,3,1,2,1,4,3,3,4,1,1,-1,3,-1,2,2,4,-1,3,-1,2,4,2,2,1,3,1,-3,2,2,1,3,-1,1,-1,1,-1,1,3,1,1,-1,3,1,-1,3,1,-3,1,3,1,-1,1,1,2,1,-3,1,-21,1,-13,1,-19,1,-56
-4,1,-53,1,-3,1,-10,2,-2,1,2,1,-6,3,-1,1,2,1,-1,3,1,-2,2,2,-3,2,-1,2,-2,2,1,-1,1,1,3,1,-1,2,3,-2,2,3,1,1,3,-1,2,3,3,1,1,1,5,3,4,2,1,1,1,2,2,1,2,3,2,1,1,1,5,2,1,2,3,-4,2,3,1,2,1,-2,1,-1,4,-1,1,1,1,2,1,-1,3,1,-2,1,2,1,1,-1,1,2,1,1,-3,1,-20,1,-14,1,-19,1,-56
-4,1,-53,1,-3,1,-10,2,-2,1,2,-1,1,-5,3,-1,1,2,-1,1,3,1,-2,1,3,-3,1,1,2,-2,2,-1,1,1,1,3,1,-1,2,3,-2,1,4,1,1,2,1,2,3,2,2,1,1,5,2,3,4,1,1,1,2,-1,3,2,3,1,2,1,1,4,3,1,2,3,-4,2,2,1,3,1,-2,1,-1,3,1,1,1,1,2,1,-1,3,1,-3,2,2,1,-1,1,2,1,1,-3,1,-21,1,-13,1,-19,1,-56
-4,1,-54,1,-2,1,-10,2,-2,1,2,-1,1,-5,3,-1,1,2,-1,1,2,2,-2,1,3,-3,1,1,2,-2,1,1,1,1,1,3,1,-1,2,3,-2,1,4,1,-1,3,1,2,3,2,2,1,1,5,2,3,4,1,1,-1,3,-1,3,1,4,1,2,1,1,4,3,1,1,4,-4,2,2,1,3,-1,1,-1,1,-1,2,2,1,1,1,2,1,-1,3,1,-3,2,2,1,-1,1,2,1,1,-3,1,-21,1,-13,1,-19,1,-56
-4,1,-54,1,-2,1,-10,1,1,-2,3,-1,1,-5,3,-1,1,1,1,1,1,3,-3,4,-4,2,1,1,-1,1,1,1,1,1,2,2,-1,1,2,2,-1,1,4,1,-1,3,1,1,3,3,1,2,1,4,3,3,3,2,1,-1,3,-1,2,2,3,1,3,-1,2,4,2,2,1,2,2,-3,2,2,1,3,-1,1,-1,1,-1,1,3,1,1,-1,3,1,-1,3,1,-3,1,3,1,-1,1,-1,3,1,-3,1,-21,1,-13,1,-19,1,-56
-7,1,-53,1,-2,1,-11,2,-2,1,2,1,-5,1,2,-1,2,1,1,1,3,-3,3,1,-3,2,-1,2,-2,2,1,-1,1,2,3,-2,3,2,-2,4,2,-1,2,2,1,2,2,3,2,1,2,4,4,2,3,1,-1,2,1,2,1,3,2,3,-1,2,1,4,3,1,1,3,-3,2,1,2,2,1,1,-2,1,1,3,1,1,-1,2,2,-1,2,1,1,-2,1,2,1,1,-1,1,2,1,1,-2,1,-21,1,-14,1,-19,1,-53
-4,1,-53,1,-3,1,-10,2,-2,1,2,1,-5,1,2,-1,1,2,1,-1,4,-3,3,1,-3,2,-1,2,-2,2,1,-1,1,1,4,-2,2,3,-2,3,2,1,2,2,-1,2,3,3,2,-1,2,4,3,4,2,1,1,1,2,2,1,3,2,2,1,1,1,5,3,-1,2,3,-3,1,1,3,2,1,1,-2,1,-1,4,-1,1,1,1,2,1,-1,3,1,-2,1,2,1,1,-1,1,2,1,1,-3,1,-20,1,-14,1,-19,1,-56
-4,1,-53,1,-3,1,-10,2,-2,1,2,-1,1,-5,3,-1,1,2,1,-1,3,1,-2,2,2,-3,1,1,2,-2,2,-1,1,1,1,3,1,-1,2,3,-2,2,3,1,1,3,-1,2,3,3,1,1,1,5,2,4,3,1,1,1,2,-1,3,2,3,2,1,1,1,5,2,1,2,3,-4,2,3,1,2,1,-2,1,-1,4,-1,1,1,1,2,1,-1,3,1,-3,3,1,1,-1,1,2,1,1,-3,1,-20,1,-14,1,-19,1,-56
-4,1,-53,1,-3,1,-10,2,-2,1,2,-1,1,-5,3,-1,1,2,1,-1,3,1,-2,2,2,-3,1,1,2,-2,2,-1,1,1,1,3,1,-1,2,3,-2,2,3,1,1,2,1,2,3,2,2,1,1,5,2,3,4,1,1,1,2,-1,3,2,3,1,2,1,1,5,2,1,2,3,-4,2,3,-1,3,1,-2,1,-1,4,-1,1,1,1,2,1,-1,3,1,-3,3,1,1,-1,1,2,1,1,-3,1,-20,1,-14,1,-19,1,-56
-6,1,-54,1,-2,1,-10,1,1,-2,3,-1,1,-5,3,-1,1,1,1,1,1,3,-3,4,-4,2,1,1,-1,1,1,1,1,1,3,1,-1,1,2,2,-1,1,4,1,-1,3,1,1,3,3,1,2,1,4,3,3,4,1,1,-1,3,-1,2,2,3,1,3,-1,2,4,2,2,1,2,2,-3,2,2,1,3,-1,1,-1,1,-1,1,3,1,1,-1,3,1,-1,3,1,-3,1,3,1,-1,1,-1,3,1,-3,1,-21,1,-13,1,-19,1,-54
-6,1,-54,1,-2,1,-10,1,1,-2,3,-1,1,-5,3,-1,1,1,1,1,1,3,-3,4,-4,2,1,1,-1,1,1,1,-1,2,1,3,-2,3,2,-1,1,4,1,-1,3,1,1,2,4,1,2,1,4,2,4,3,2,1,-1,2,1,2,2,3,1,3,-1,2,4,1,3,1,1,3,-3,2,2,1,3,-1,1,-1,1,-1,1,3,1,1,-1,3,1,-1,3,1,-3,1,3,1,-1,1,-1,3,1,-3,1,-21,1,-13,1,-19,1,-54
