0.0000000,0.000#0.640#0.650#0.660#0.890,1.000e-01,-00000013,000000018,0,000000001,000000310,000000000,000000000
-41,1,-7,1,1,-3,1,-7,1,-1,1,1,1,-1,1,-1,1,-1,2,-1,2,1,2,2,2,1,2,6,4,3,4,5,3,7,5,4,2,3,6,10,4,7,8,5,4,5,8,8,11,11,14,13,4,5,17,12,9,15,13,7,21,5,17,17,15,12,15,10,10,11,13,12,11,18,13,17,19,13,12,9,12,11,11,12,10,14,11,21,11,13,12,16,8,11,7,13,8,15,7,10,7,5,9,7,15,7,5,4,3,8,12,4,6,4,4,7,4,4,2,3,5,6,3,3,4,4,5,2,3,-1,2,2,1,1,2,3,-4,1,1,2,-1,2,-1,2,1,-4,1,1,1,-1,1,2,-3,1,-12,1,-81
-48,1,-7,2,-3,1,-7,1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,3,1,2,2,2,3,5,4,4,2,6,3,9,3,2,3,6,10,4,6,8,7,4,4,5,10,10,9,15,13,8,4,13,15,9,11,15,11,11,13,14,15,18,13,11,13,11,5,19,11,13,18,12,13,18,17,10,14,9,14,7,11,13,13,13,17,15,10,14,9,13,12,8,11,11,13,9,10,6,7,9,8,10,10,3,7,3,6,13,6,4,5,6,3,5,4,5,2,6,4,4,4,2,6,4,2,3,1,-1,4,1,1,2,3,-5,2,1,1,2,-1,1,1,1,-3,1,1,-1,1,1,-1,2,-2,1,-12,1,-75
-48,1,-7,2,-3,1,-7,1,-2,1,1,1,1,-1,1,-1,1,1,1,1,2,2,2,2,2,2,6,4,4,2,5,4,9,3,2,3,6,8,5,7,7,6,6,4,5,10,9,9,16,11,9,4,12,16,9,11,14,13,8,15,11,17,16,16,12,13,10,6,15,13,13,16,15,12,18,17,10,15,9,15,7,9,15,12,13,16,16,11,12,10,14,11,8,11,10,13,10,8,9,6,9,8,11,10,3,7,2,7,11,7,4,6,6,3,5,4,5,2,6,4,4,4,2,5,4,3,3,1,-1,4,1,1,2,2,1,-4,2,1,1,2,-2,2,1,-3,1,1,-1,1,1,-1,2,-2,1,-12,1,-75
-48,1,-7,2,-4,1,-7,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,3,2,2,2,1,7,4,3,3,5,3,10,3,2,3,5,9,5,6,7,7,6,3,5,11,8,9,16,12,8,4,12,13,11,11,16,12,9,14,12,15,16,15,14,13,10,6,15,12,14,15,17,11,18,15,12,13,10,16,8,8,15,12,14,13,16,13,13,8,15,11,9,11,9,10,14,7,9,7,7,8,11,10,5,7,2,7,9,9,2,8,4,4,6,4,5,2,5,3,6,3,3,3,6,3,3,1,-1,3,2,1,2,2,1,-4,2,1,1,2,-2,2,1,-3,1,1,-1,1,-1,1,2,-2,1,-12,1,-75
-50,1,-7,2,-4,1,-7,1,-1,1,1,1,-1,1,-1,1,-1,2,1,1,1,2,2,3,-1,2,6,4,3,4,5,3,8,5,3,3,2,7,10,4,6,8,6,3,5,8,9,10,12,17,10,4,6,15,13,10,15,12,10,17,8,14,18,14,13,15,10,9,13,12,13,12,18,13,16,18,12,12,10,11,12,11,13,9,14,12,21,11,13,10,17,8,11,8,12,8,15,8,8,7,7,8,7,15,6,6,3,3,8,12,4,6,5,5,5,5,4,2,4,3,6,4,2,5,4,4,2,3,-1,2,2,1,2,3,1,-4,1,1,2,-1,2,-1,2,1,-3,1,-1,1,1,-1,1,2,-3,1,-11,1,-73
