1.8849556,0.000#0.290#0.300#0.370#0.230#0.350#0.490#0.500#0.070#0.220#0.240#0.310#0.360#0.450#0.460#0.840#0.250#0.260#0.320#0.340#0.380#0.470#0.480#0.510#0.520#0.010#0.060#0.270#0.280#0.430#0.440#0.530#0.760#0.830#0.020#0.030#0.040#0.050#0.330#0.390#0.540#0.700#0.080#0.400#0.410#0.550#0.560#0.690#0.740#0.750#0.780#0.110#0.570#0.680#0.710#0.730#0.790#0.120#0.160#0.190#0.210#0.580#0.650#0.720#0.090#0.100#0.150#0.200#0.660#0.670#0.130,5.000e-01,-00000138,000000013,0,000000001,000000302,000000000,000000001
-41,1,-22,1,-11,3,3,1,-1,1,1,-2,1,3,2,2,-1,1,1,2,1,2,-1,1,-1,1,4,3,3,3,3,3,1,2,6,6,1,4,4,4,2,-1,1,3,2,-1,1,4,2,-1,7,7,1,5,5,2,1,6,6,5,4,5,2,4,5,2,2,1,4,5,4,4,2,3,3,4,2,4,3,2,4,4,4,-1,5,2,5,2,-1,2,3,4,1,5,2,2,2,3,1,4,2,4,1,2,2,1,1,-1,2,2,1,1,-2,1,1,1,2,-1,2,-1,1,1,-1,1,2,2,1,-4,1,1,-1,2,1,-13,1,-2,1,-1,1,-74
-41,1,-22,1,-11,1,3,3,-1,1,-1,1,-2,4,-1,3,1,-1,1,1,2,1,2,-1,1,-1,2,5,4,2,2,4,1,2,3,5,6,1,4,5,3,1,-1,4,1,1,-1,4,2,1,3,5,7,2,6,3,1,3,5,6,5,5,4,1,6,4,3,-1,2,4,8,2,3,2,3,2,5,4,3,1,3,4,4,3,1,4,3,5,1,1,2,4,3,1,4,4,1,3,2,2,3,3,2,3,-1,2,1,1,1,1,3,-1,1,-1,1,1,-1,2,1,1,1,-1,1,1,1,1,1,3,-4,1,-1,1,1,2,-13,1,-3,1,-1,1,-73
-41,1,-22,1,-11,1,3,3,-2,1,1,-2,4,-1,3,1,-1,1,1,2,1,2,-1,1,-1,2,5,3,3,2,4,1,2,3,5,6,1,4,5,3,1,-1,4,1,1,-1,4,2,1,2,6,7,2,5,4,1,3,5,6,5,5,4,1,6,4,3,-1,2,4,8,2,3,2,3,2,5,4,3,1,3,4,4,3,1,4,3,5,1,1,2,4,3,1,4,4,1,3,2,2,3,3,2,3,-1,2,1,1,1,1,3,-1,1,-1,1,1,-1,2,1,1,1,-1,1,1,1,1,1,3,-4,1,-1,1,1,2,-13,1,-3,1,-1,1,-73
-42,1,-21,1,-11,1,2,4,-2,1,1,-2,4,-1,2,2,-1,1,1,2,1,2,-1,1,-1,1,6,1,4,3,3,2,1,3,5,7,-1,4,5,4,1,-1,1,4,1,-1,3,3,1,2,5,8,1,4,6,1,1,7,5,5,6,4,1,5,5,3,-1,1,5,7,3,3,2,3,2,5,3,4,1,2,4,5,3,1,4,2,6,1,-1,3,3,4,1,4,4,-1,4,1,2,4,1,4,2,1,2,1,1,-1,2,2,1,1,-1,1,-1,1,2,1,1,1,-1,1,1,1,-1,2,3,-5,1,1,1,1,1,-12,1,-3,1,-1,1,-73
-41,1,-22,1,-11,1,4,2,-1,1,-1,1,-2,4,-1,4,-2,1,1,2,2,1,-1,1,1,2,4,4,2,2,4,1,2,5,4,5,2,3,5,3,1,1,3,1,1,-1,4,2,1,3,7,5,4,4,4,-1,3,5,8,6,4,2,3,4,4,3,1,3,2,8,2,3,2,4,1,6,4,2,1,4,3,4,3,1,5,3,4,1,2,1,4,3,1,5,3,1,3,2,2,3,4,1,3,1,1,1,1,1,1,3,-1,1,-1,1,1,-1,2,1,2,-2,1,1,1,2,1,2,-4,1,1,-1,1,2,-13,1,-3,1,1,-74
-42,1,-21,1,-11,1,2,4,-2,1,1,-2,4,-1,2,2,-1,1,1,2,1,2,-1,1,-1,1,6,3,3,2,3,2,1,4,5,6,-1,5,4,4,1,-1,2,3,1,-1,3,3,1,2,5,8,2,4,5,1,1,7,6,5,5,4,1,5,5,3,-1,1,5,7,3,3,2,3,2,5,3,4,1,2,5,4,3,1,4,2,6,1,-1,3,3,4,1,4,4,-1,4,1,2,4,2,3,2,1,2,1,1,1,1,2,1,1,-1,1,-1,1,2,1,1,1,-1,1,1,1,1,1,3,-5,1,1,1,1,1,-12,1,-3,1,-1,1,-73
-42,1,-22,1,-11,3,3,1,-1,1,1,-2,1,3,2,2,-1,1,1,2,1,2,-1,1,-1,1,4,3,3,3,3,3,1,2,6,6,1,4,4,4,2,-1,1,3,2,-1,1,4,2,-1,7,7,1,5,5,2,1,6,6,5,4,5,2,4,5,3,1,1,4,8,1,4,2,3,3,4,2,5,2,2,4,4,4,1,4,2,5,2,-1,2,3,4,2,4,2,2,2,3,1,4,2,4,2,1,2,1,1,-1,2,2,1,1,-2,1,1,1,2,-1,2,-1,1,1,-1,1,2,2,1,-4,1,1,-1,2,1,-13,1,-2,1,-1,1,-73
-42,1,-22,1,-11,3,3,1,-1,1,1,-2,1,3,2,2,-1,1,1,2,1,2,-1,1,-1,1,4,3,3,3,3,3,1,2,6,6,1,4,4,4,2,-1,1,3,2,-1,1,4,2,-1,7,7,1,5,5,2,1,6,6,5,4,5,2,4,5,2,2,1,4,5,4,4,2,3,3,4,2,4,3,2,4,4,4,-1,5,2,5,2,-1,2,3,4,1,5,2,2,2,3,1,4,2,4,1,2,2,1,1,-1,2,2,1,1,-2,1,1,1,2,-1,2,-1,1,1,-1,1,2,2,1,-4,1,1,-1,2,1,-13,1,-2,1,-1,1,-73
-41,1,-22,1,-11,2,4,1,-1,1,1,-2,1,3,2,2,-1,1,1,2,-1,2,1,1,-1,1,2,5,3,3,2,4,-1,2,6,7,1,4,3,4,2,1,1,3,2,-1,1,4,2,-1,7,7,1,5,5,2,1,6,4,7,4,5,2,3,6,2,2,1,4,5,4,3,3,3,3,4,2,4,2,1,6,4,3,1,5,1,6,1,1,2,3,4,1,2,5,2,2,2,2,3,3,4,1,2,2,1,-1,1,2,2,1,1,-2,1,1,1,1,1,2,-1,1,1,-1,1,2,2,1,-4,1,1,-1,2,1,-13,1,-2,1,-1,1,-74
-41,1,-22,1,-11,1,4,2,-1,1,-1,1,-2,4,-1,4,-2,1,1,2,2,1,-1,1,1,2,4,4,2,2,4,1,2,5,4,5,2,3,5,3,1,1,3,1,1,-1,4,2,1,3,7,5,4,5,3,-1,3,5,8,6,4,2,3,4,4,3,1,3,2,8,2,3,2,4,1,6,4,2,1,4,3,4,3,1,5,3,4,1,2,1,4,3,1,6,2,1,3,2,2,3,4,1,3,1,1,1,1,2,-1,3,-1,1,-1,1,1,-1,2,1,2,-1,1,-1,1,1,2,1,2,-4,1,1,-1,1,2,-13,1,-3,1,1,-74
