3.1415926,0.000#0.880#0.860#0.740#0.870#0.900#0.910#0.350#0.920#0.330#0.130#0.140#0.280,3.700e+01,-00005583,000005813,1,000000037,000000308,000000000,000000000
-28,1,-9,1,-19,1,-6,1,-3,2,-1,2,-1,1,2,2,-1,2,-2,2,2,1,2,1,1,2,-2,2,2,2,3,3,1,1,2,2,6,3,5,1,1,5,3,6,7,10,6,6,3,2,4,4,11,5,4,7,9,3,4,6,6,6,1,6,8,6,16,3,15,12,6,8,9,6,12,13,9,14,12,8,8,14,14,6,10,13,10,9,17,12,12,7,9,11,8,12,10,10,16,12,9,11,10,14,8,7,8,8,5,9,6,8,12,9,12,5,5,7,3,7,1,5,5,4,6,7,4,7,5,4,7,7,1,4,3,3,2,4,4,8,2,2,7,2,5,3,3,3,1,3,2,1,3,-1,1,2,1,-1,1,2,1,-1,1,3,2,-1,1,2,1,-1,1,1,-2,1,1,-4,1,-5,1,-4,1,-54
-29,1,-9,1,-19,1,-5,1,-2,1,1,2,-1,1,-1,3,1,1,1,-2,2,2,2,1,1,1,-1,2,2,-1,2,2,1,5,1,1,2,2,3,6,2,4,5,1,5,4,7,10,5,7,2,3,3,5,7,8,7,5,4,8,5,5,5,6,7,1,6,8,3,16,14,13,5,8,6,9,12,13,12,12,7,12,13,10,11,9,10,12,9,9,13,18,6,13,9,9,15,7,11,9,8,20,9,11,15,8,7,9,8,8,7,7,10,4,8,13,5,12,7,5,6,4,5,1,3,6,9,4,7,4,5,4,5,9,4,1,3,3,5,1,10,2,2,2,2,7,3,5,3,3,2,2,1,2,-1,3,2,1,-1,1,2,1,-1,1,3,1,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-29,1,-9,1,-19,1,-5,1,-2,1,1,2,-1,1,-1,3,1,1,1,-2,2,2,2,1,1,1,-1,2,2,-1,2,2,-1,6,1,1,2,2,2,7,2,4,5,1,5,4,7,10,5,7,2,3,3,5,6,9,7,5,4,8,5,5,5,6,6,2,7,7,3,16,13,14,5,8,6,9,12,13,12,12,7,12,13,10,11,9,10,12,9,9,13,18,7,12,10,8,15,7,11,9,9,19,10,10,14,9,7,9,9,7,7,7,10,4,8,13,6,11,7,5,6,4,5,1,3,6,8,5,7,4,5,4,5,9,4,1,3,3,5,1,10,2,2,2,2,7,3,5,3,3,2,2,1,2,-1,3,2,1,-1,1,2,1,1,-1,3,1,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-28,1,-10,1,-19,1,-5,1,-3,2,1,1,1,-1,3,1,1,1,-2,1,3,2,1,1,1,-1,2,1,1,2,2,-1,6,1,1,1,3,2,7,2,4,4,2,5,4,8,9,6,6,2,3,4,4,6,9,7,5,6,6,7,3,4,7,6,2,6,8,10,9,13,14,5,9,4,10,12,13,9,15,12,7,10,13,12,8,9,13,9,11,14,15,8,11,10,9,12,9,10,10,12,16,8,12,13,10,4,12,9,7,7,7,10,4,9,12,9,8,6,6,6,4,5,1,4,5,10,3,6,5,3,6,4,10,4,1,3,3,5,1,10,2,2,2,3,6,3,5,4,2,2,2,1,2,1,2,-1,3,-1,1,2,1,1,-1,2,2,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-29,1,-9,1,-19,1,-5,1,-2,1,1,2,-1,1,-1,3,1,1,1,-2,2,2,2,1,1,1,-1,2,2,-1,2,2,1,5,1,1,2,2,3,6,2,4,5,1,5,4,7,10,5,7,2,3,3,5,7,8,7,5,4,8,5,5,5,6,7,1,6,8,3,16,13,14,5,8,6,9,12,13,12,12,7,12,13,10,11,9,10,12,9,9,13,18,6,13,9,9,15,7,11,9,9,19,10,10,14,9,7,9,9,7,7,7,10,4,8,13,6,11,7,5,6,4,5,1,3,6,8,5,7,4,5,4,5,9,4,1,3,3,5,1,10,2,2,2,2,7,3,5,3,3,2,2,1,2,-1,3,2,1,-1,1,2,1,1,-1,3,1,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-29,1,-9,1,-19,1,-5,1,-2,2,-1,2,-1,1,-1,3,1,1,1,-2,2,2,2,1,1,1,-1,2,2,-1,2,2,2,4,1,1,2,2,3,6,2,4,5,1,6,3,7,10,5,7,2,3,3,5,6,9,7,5,4,8,6,4,6,5,7,1,6,8,3,16,14,13,5,8,5,10,12,13,12,12,7,12,14,9,11,9,10,12,9,9,13,18,6,13,9,9,15,7,11,9,8,20,9,11,15,8,7,9,8,8,8,6,8,6,9,12,5,12,7,5,6,4,5,1,3,6,9,4,7,4,5,4,5,9,4,1,3,3,4,2,10,2,2,2,2,7,3,5,3,3,2,2,1,2,-1,3,2,1,-1,1,2,1,-1,1,3,1,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-29,1,-9,1,-19,1,-5,1,-2,2,-1,2,-1,1,-1,3,1,1,1,-2,2,2,2,1,1,1,-1,2,2,-1,2,2,2,4,1,1,2,2,3,6,1,5,5,1,6,3,7,10,5,7,2,3,4,4,6,9,7,5,4,8,6,4,6,5,7,1,6,8,3,16,14,13,6,7,6,9,12,13,12,12,7,12,14,9,11,9,10,12,8,10,13,18,6,13,9,9,15,7,11,9,8,20,11,9,15,8,7,9,8,8,8,6,8,6,9,12,5,12,7,5,6,4,5,1,3,6,8,5,7,4,5,4,5,9,4,1,3,3,4,2,10,2,2,2,2,7,3,5,3,3,2,2,1,2,-1,3,2,1,-1,1,2,1,-1,1,3,1,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-28,1,-9,1,-19,1,-6,1,-3,2,-1,2,1,-1,3,1,-1,2,-3,4,1,2,1,1,1,1,1,1,3,1,2,4,1,1,1,3,4,5,4,2,1,5,4,5,7,10,7,5,3,2,3,5,10,6,5,6,8,4,5,5,4,8,5,2,8,6,14,5,13,14,7,7,6,9,11,13,8,16,13,6,13,10,16,4,10,13,10,9,15,14,9,10,11,8,5,16,12,8,13,15,11,9,14,10,6,9,10,6,5,9,4,10,8,13,11,6,7,5,7,3,3,3,4,5,9,4,7,4,5,4,5,9,3,2,4,2,3,3,8,4,2,2,5,4,6,2,4,2,1,3,2,1,1,2,1,2,1,-1,1,2,1,-1,1,3,2,-1,3,-1,1,-1,1,1,-2,1,1,-4,1,-5,1,-4,1,-54
-29,1,-9,1,-19,1,-5,1,-2,2,-1,2,-1,1,-1,3,1,1,1,-2,2,2,2,1,1,1,-1,2,2,-1,2,2,2,4,1,1,2,2,3,6,1,5,5,1,6,3,8,9,5,7,2,3,4,4,6,9,7,5,4,8,6,4,6,5,7,1,6,8,3,16,13,14,6,7,6,9,12,13,12,12,7,12,14,9,11,9,11,11,8,10,13,18,6,13,9,9,15,7,11,9,9,19,11,9,15,8,7,9,8,8,8,6,8,6,9,12,5,12,7,5,6,4,5,1,3,6,8,5,7,4,5,4,5,9,4,1,3,3,4,2,10,2,2,2,2,7,3,5,3,3,2,2,1,2,-1,3,2,1,-1,1,2,1,-1,1,3,1,-1,2,3,-2,1,-1,2,-3,2,-5,1,-4,1,-4,1,-54
-28,1,-9,1,-19,1,-6,1,-3,2,-1,2,1,-1,3,1,-1,2,-3,4,1,2,1,1,1,1,1,1,3,1,2,4,2,-1,1,3,4,5,4,2,1,5,3,6,7,10,6,6,3,2,3,5,10,6,5,6,8,4,5,5,4,8,5,2,9,5,14,5,14,13,7,7,6,9,12,12,9,15,13,6,12,11,16,4,11,12,10,9,15,14,10,9,11,8,5,16,12,8,13,15,11,9,13,11,6,9,8,8,5,9,4,10,7,14,11,6,7,5,7,3,3,3,4,5,8,5,6,5,5,4,5,9,3,2,4,2,3,3,8,4,2,2,5,4,6,2,4,2,1,3,2,1,1,2,1,2,1,-1,1,2,1,-1,1,3,2,-1,2,1,1,-1,1,1,-2,1,1,-4,1,-5,1,-4,1,-54
