0.0000000,0.000#0.430#0.320#0.420#0.410#0.330#0.460#0.490#0.280#0.450,1.000e+01,-00001456,000001664,1,000000010,000000312,000000000,000000000
-50,1,-7,1,-6,1,-3,1,-2,1,-3,1,1,1,2,-2,1,1,2,2,-1,4,3,-1,3,2,-1,5,4,2,2,11,9,3,5,1,5,2,5,2,8,4,7,8,5,8,6,10,12,5,7,5,4,4,4,8,10,8,7,7,13,10,10,9,12,12,11,18,7,10,14,12,13,18,7,12,13,10,6,14,10,13,10,13,10,14,14,11,9,9,18,11,14,6,15,9,10,12,7,9,10,8,11,11,4,11,8,8,11,5,4,7,7,6,8,8,6,3,4,2,1,4,4,10,2,2,4,4,-1,3,2,3,2,4,4,-1,3,2,1,-1,2,4,1,4,-3,1,2,1,2,4,1,-2,2,-3,1,-1,1,1,-3,1,1,-4,1,-73
-51,1,-7,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,3,1,3,-1,3,2,3,2,3,3,7,6,6,6,1,5,4,3,3,4,4,8,12,3,4,9,9,7,8,9,7,5,2,6,3,9,11,7,7,7,12,10,11,8,13,10,19,10,11,8,10,14,15,16,11,9,16,8,11,9,12,10,10,14,16,6,14,13,12,6,16,12,12,9,11,13,10,12,8,7,13,6,11,11,8,7,7,9,7,9,5,6,11,2,10,6,3,6,4,2,2,3,6,8,3,-1,4,4,1,3,3,1,3,4,3,1,1,4,-1,1,2,4,4,1,-2,1,-1,1,2,1,4,2,-2,2,-3,1,-1,1,1,-3,1,1,-5,1,-72
-50,1,-8,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,2,2,3,-1,4,1,3,2,3,3,6,7,8,4,2,4,4,3,4,3,5,7,12,3,4,9,8,8,11,6,8,4,2,6,3,9,9,9,7,7,10,12,10,10,14,8,17,12,12,7,12,13,15,16,8,11,18,6,10,10,10,12,11,13,14,9,13,13,12,6,19,9,13,8,11,13,10,12,7,8,13,6,11,11,8,7,7,9,8,8,4,7,11,2,9,7,3,6,3,3,2,3,6,8,2,1,4,4,1,3,3,2,2,4,3,1,1,4,-1,1,3,3,3,2,-2,1,-1,1,2,2,4,1,-2,2,-3,1,-1,1,1,-3,1,1,-4,1,-73
-51,1,-7,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,3,1,3,-1,3,2,3,2,3,3,7,6,6,6,1,5,4,3,3,4,4,8,12,3,4,9,9,7,8,9,8,4,2,6,3,9,12,6,7,7,11,11,11,8,13,10,19,10,11,8,10,14,15,16,11,9,16,8,11,9,11,11,10,14,16,6,14,13,12,6,16,12,12,9,11,13,10,12,8,7,13,6,11,11,8,7,7,9,7,9,4,7,11,2,10,6,3,6,4,2,2,3,5,9,3,-1,4,4,1,3,3,1,3,4,3,1,1,4,-1,1,2,4,4,1,-2,1,-1,1,2,2,3,2,-2,2,-3,1,-1,1,1,-3,1,1,-5,1,-72
-51,1,-7,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,3,1,3,-1,3,2,3,2,3,3,7,6,7,5,1,5,4,3,3,4,4,8,12,3,4,9,9,7,9,8,8,4,2,6,3,9,12,6,7,7,10,12,11,8,12,11,19,10,11,8,10,14,16,15,11,9,16,8,11,9,11,11,10,14,16,6,14,13,12,6,16,12,12,9,11,13,10,12,7,8,13,6,11,11,8,7,7,9,7,9,4,7,11,2,10,6,3,6,4,2,2,3,5,9,3,-1,4,4,1,3,3,1,2,5,3,1,1,4,-1,1,2,4,4,1,-2,1,-1,1,2,2,3,2,-2,2,-3,1,-1,1,1,-3,1,1,-5,1,-72
-50,1,-8,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,2,2,3,-1,4,1,3,2,3,3,6,7,7,5,2,4,4,3,4,3,5,7,12,3,4,9,8,8,11,6,8,4,2,6,3,9,9,9,7,7,10,12,10,10,14,8,17,12,11,8,12,13,15,16,8,11,18,6,11,9,10,12,11,13,14,9,13,13,12,6,18,10,13,8,11,13,10,12,7,8,13,6,11,11,8,7,7,9,9,7,4,7,11,2,9,7,3,6,3,3,2,3,6,8,2,1,4,4,1,3,3,2,2,4,3,1,1,4,-1,1,3,3,3,2,-2,1,-1,1,2,2,4,1,-2,2,-3,1,-1,1,1,-3,1,1,-5,1,-72
-51,1,-7,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,3,1,3,-1,3,2,3,2,3,3,7,6,6,6,1,5,4,3,2,5,4,8,11,4,5,8,9,7,7,10,7,5,3,5,3,9,11,7,6,8,12,10,11,8,13,10,19,10,11,8,10,14,15,16,11,9,16,8,10,10,12,10,11,13,14,8,15,11,13,6,16,12,10,11,12,12,10,12,8,7,13,6,10,12,9,6,6,10,7,9,5,6,11,2,10,6,3,6,4,2,2,3,6,8,3,-1,4,4,1,3,3,1,2,5,3,1,1,4,-1,1,2,4,4,1,-2,1,-1,1,2,1,4,2,-2,2,-3,1,-1,1,1,-3,2,-6,1,-72
-51,1,-7,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,3,1,3,-1,3,2,3,2,4,2,7,6,6,6,1,5,4,3,2,5,4,8,11,4,5,8,8,8,7,10,7,5,3,5,4,8,12,6,6,8,11,11,11,8,14,9,19,10,11,8,9,14,15,17,13,7,16,8,9,11,12,9,13,12,12,10,14,12,12,7,15,13,10,11,12,12,8,14,7,8,13,6,10,12,9,6,6,10,8,8,6,5,11,2,9,7,3,6,4,2,2,3,6,8,3,-1,4,4,2,2,3,1,2,5,3,1,1,4,-1,1,2,4,4,1,-2,1,-1,1,2,1,4,2,-1,1,1,-3,1,1,-1,1,-3,2,-6,1,-72
-50,1,-7,1,-5,1,-4,1,-2,1,-3,1,1,1,2,-2,2,-1,1,3,2,2,3,-1,4,1,3,2,4,2,6,7,8,4,2,4,3,4,4,3,5,7,11,4,5,8,8,8,11,6,8,4,3,5,3,9,10,8,7,7,10,12,10,10,15,7,16,13,13,6,11,14,15,16,8,11,17,7,11,9,10,13,10,13,14,9,13,13,12,6,19,9,13,8,11,13,10,12,7,8,13,6,11,11,6,9,7,9,8,8,4,7,10,3,8,8,3,6,3,3,2,3,6,8,2,1,4,5,-1,3,3,2,2,4,3,1,1,4,1,-1,3,3,3,2,-2,1,-1,1,2,1,5,1,-2,2,-3,1,-1,1,1,-3,1,1,-4,1,-73
-51,1,-7,1,-4,1,-3,1,-3,1,-3,1,1,1,2,-2,2,-1,1,3,3,1,3,-1,3,2,3,2,3,3,7,6,6,6,1,5,4,3,2,5,4,8,11,4,5,8,9,7,7,10,7,5,2,6,3,9,11,7,6,8,12,10,11,8,13,10,19,10,11,8,10,14,16,15,11,9,15,9,10,10,12,10,11,13,16,6,14,13,12,6,16,12,10,11,12,12,10,12,8,7,13,6,11,11,8,7,6,10,7,9,5,6,11,2,10,6,3,6,4,2,2,3,6,8,3,-1,4,4,1,3,3,1,2,5,3,1,1,4,-1,1,2,4,4,1,-2,1,-1,1,2,1,4,2,-2,2,-3,1,-1,1,1,-3,2,-6,1,-72
