0.0000000,0.000#0.060#0.210#0.230#0.220#0.630#0.280#0.250#0.640#0.790#0.800,3.333e-01,-00000057,000000056,0,000000001,000000339,000000000,000000000
-44,1,-27,1,-1,1,-5,2,-1,2,-2,1,-3,2,1,1,2,3,1,-2,1,2,1,-2,1,2,1,4,4,1,1,-1,2,2,5,2,3,1,3,2,2,1,6,3,4,4,6,4,4,5,6,4,6,6,6,9,3,9,7,2,3,6,10,8,7,5,13,11,4,7,12,16,9,8,1,8,7,11,10,11,9,8,9,8,6,10,10,13,10,11,8,11,4,9,8,11,10,13,9,11,10,11,9,11,11,7,8,7,8,10,7,13,14,7,5,12,6,4,10,7,5,8,6,2,5,4,5,4,3,6,6,5,9,3,3,7,4,6,3,7,7,7,3,10,2,2,3,4,1,1,5,3,3,3,4,1,4,1,2,3,1,3,-1,4,3,1,-1,2,1,2,2,-1,4,-1,1,1,1,1,-1,2,2,1,-1,1,1,-3,1,1,-2,1,1,-4,1,-3,1,-11,1,-46
-44,1,-27,1,-2,1,-4,2,-1,2,-2,1,-3,2,1,1,2,2,2,-2,1,1,2,-3,3,1,4,3,2,-1,1,2,2,3,4,3,1,3,2,2,1,5,2,5,5,3,7,3,5,5,5,7,6,6,9,3,7,9,2,3,6,9,8,8,5,11,11,6,7,10,16,8,11,1,5,9,9,11,9,11,8,10,8,7,9,8,14,9,14,6,12,5,8,7,11,10,12,12,8,11,10,10,11,11,6,9,8,9,8,5,14,15,8,6,7,8,6,9,9,3,7,8,3,5,4,5,3,4,4,7,5,9,4,2,8,4,5,3,8,5,8,4,9,3,1,4,4,-1,2,4,3,3,4,3,2,4,-1,3,2,2,3,-1,3,4,1,-1,1,2,2,2,-1,4,-1,1,1,1,1,-1,2,1,2,-1,1,-1,1,-2,1,1,-3,2,-4,1,-3,1,-11,1,-46
-45,1,-27,1,-1,1,-4,2,-1,2,-2,1,-4,2,1,1,2,3,1,-1,1,1,1,1,-2,3,1,3,2,4,-1,1,2,1,3,4,2,3,3,1,3,-1,3,5,3,5,2,7,6,2,6,5,8,4,7,7,6,8,6,5,1,7,5,11,7,5,6,16,5,8,6,16,12,10,4,6,5,8,13,9,11,6,11,10,5,8,11,8,13,13,9,8,9,5,10,10,6,15,8,9,13,10,13,9,9,10,6,10,7,7,10,8,13,14,6,8,8,7,5,8,7,5,9,4,3,4,4,6,5,2,8,3,9,5,3,4,7,7,3,4,8,7,5,7,5,2,2,5,2,2,3,2,4,2,6,1,3,2,1,3,2,3,1,-1,4,3,1,1,1,2,1,2,1,3,1,1,1,-1,1,1,1,3,-1,1,-1,1,-3,1,1,-2,1,1,-3,1,-3,1,-11,1,-46
-45,1,-27,1,-1,1,-4,2,-1,2,-2,1,-4,2,1,1,2,3,1,-1,1,1,1,1,-2,2,2,3,2,4,-1,1,2,-1,4,4,2,3,2,2,3,-1,2,6,3,5,2,7,6,2,6,5,8,4,6,7,7,7,5,6,2,5,5,13,6,6,6,16,5,8,6,14,12,12,4,5,6,8,12,10,11,6,11,8,6,9,9,10,13,13,8,7,11,5,9,10,6,16,8,9,11,11,14,8,10,10,6,8,7,9,10,8,12,15,6,6,10,6,6,8,7,5,7,6,3,4,4,6,5,2,8,3,8,6,3,4,7,7,3,4,8,7,5,7,5,2,2,4,3,2,3,2,4,2,6,1,3,2,1,3,2,3,1,-1,4,3,1,1,1,2,1,2,1,3,1,1,1,-1,1,1,1,3,-2,1,1,-3,1,1,-2,1,1,-3,1,-3,1,-11,1,-46
-45,1,-27,1,-1,1,-4,2,-1,2,-2,1,-4,2,1,1,2,3,1,-1,1,1,1,1,-2,3,1,3,2,4,-1,1,2,-1,4,4,2,3,3,1,3,-1,2,6,3,5,2,7,6,2,6,5,8,4,6,8,6,8,5,6,1,6,6,11,7,5,6,16,5,8,6,16,11,11,4,5,6,8,12,10,11,6,11,8,7,8,10,9,13,13,8,7,11,5,10,9,6,16,8,9,13,9,14,9,9,10,6,8,8,8,10,8,12,15,6,7,9,7,5,8,7,5,8,5,3,4,4,6,5,2,8,3,9,5,3,4,7,7,3,4,8,7,5,7,5,2,2,5,2,2,3,2,4,2,6,1,3,2,1,3,2,3,1,-1,4,3,1,1,1,2,1,2,1,3,1,1,1,-1,1,1,1,3,-1,1,-1,1,-3,1,1,-2,1,1,-3,1,-3,1,-11,1,-46
-46,1,-27,1,-1,1,-5,2,1,1,-2,1,-3,2,1,1,2,3,1,-2,1,2,1,-2,1,2,3,2,4,1,1,-1,2,3,5,1,3,1,3,3,1,1,6,3,4,4,6,4,5,6,4,7,4,6,7,7,6,7,6,2,4,6,11,7,7,4,15,9,4,9,11,15,9,8,3,8,5,11,12,10,8,10,10,5,7,11,9,14,12,8,8,10,5,10,6,11,12,11,10,10,10,11,10,10,11,7,8,7,9,9,8,12,14,9,3,12,6,5,9,8,4,8,6,2,5,4,5,4,3,8,4,7,7,3,3,7,4,6,4,6,9,5,4,9,2,2,4,3,1,2,4,4,2,4,3,1,4,1,3,2,1,3,-1,4,3,1,1,1,1,2,2,-1,4,-1,1,1,1,1,-1,2,2,1,-1,1,1,-3,1,1,-2,1,1,-3,1,-3,1,-12,1,-44
-45,1,-27,1,-1,1,-5,2,1,1,-1,1,-4,2,1,1,2,3,1,-2,1,2,1,-2,1,3,3,1,4,1,1,2,-1,3,5,1,4,-1,3,3,1,1,6,3,4,4,6,5,4,6,4,7,4,6,7,7,6,7,6,3,4,5,11,7,8,3,15,9,5,9,10,15,10,7,3,8,5,12,12,9,8,11,9,6,6,11,10,14,12,7,9,10,4,10,10,7,14,9,10,10,10,11,11,9,11,7,8,7,10,9,8,12,13,9,4,11,6,5,10,7,4,8,6,2,5,4,5,4,3,8,4,7,7,3,3,8,4,5,5,5,9,6,4,8,2,2,4,3,2,2,3,4,2,4,3,2,3,1,3,2,1,3,-1,4,3,1,1,1,1,2,2,-1,4,1,-1,1,1,1,-1,2,2,1,-1,1,1,-3,1,1,-2,1,1,-3,1,-3,1,-12,1,-45
-45,1,-27,1,-1,1,-5,2,1,1,-1,1,-4,2,1,1,2,3,1,-1,1,1,1,1,-2,2,2,3,1,4,1,1,2,-1,3,5,2,3,1,2,4,-1,1,6,3,5,3,7,5,3,6,5,7,4,6,7,8,6,5,6,3,5,4,12,8,6,5,15,7,6,8,13,12,13,4,5,6,6,14,9,11,7,11,8,6,7,11,9,14,13,8,7,11,4,9,10,7,16,8,9,11,10,14,8,10,10,7,8,6,10,9,8,13,14,7,6,9,6,5,10,7,4,8,6,3,4,4,5,5,3,8,3,8,6,3,3,8,4,5,5,8,6,6,6,6,2,2,4,3,2,3,2,4,2,5,2,3,2,1,3,2,1,3,-1,4,3,1,1,1,2,1,2,-1,4,1,1,1,-1,1,1,1,3,-2,1,1,-3,1,1,-2,1,1,-3,1,-3,1,-12,1,-45
-46,1,-27,1,-1,1,-5,2,1,1,-2,1,-3,2,1,1,2,3,1,-2,1,2,1,-2,1,2,2,3,4,1,1,-1,2,2,5,2,3,1,3,3,1,1,6,3,4,4,6,4,4,7,4,6,5,5,7,8,6,7,6,2,4,5,12,6,8,4,14,10,4,8,12,15,9,8,3,8,5,11,12,10,8,8,12,5,6,10,11,14,11,9,7,11,5,8,8,11,12,11,10,10,10,11,10,10,11,7,8,7,9,9,8,12,14,7,5,12,6,5,9,8,4,8,6,2,5,4,5,4,3,8,4,6,8,3,3,7,4,6,4,6,9,5,4,9,2,2,4,3,1,1,5,4,2,4,3,1,4,1,3,2,1,3,-1,4,3,1,1,1,1,2,2,-1,4,-1,1,1,1,1,-1,2,2,1,-1,1,1,-3,1,1,-2,1,1,-3,1,-4,1,-11,1,-44
-46,1,-28,1,-1,1,-4,2,-1,2,-2,1,-4,3,1,1,3,1,1,-1,1,1,2,-3,3,1,3,4,2,-1,1,2,2,2,4,3,2,3,2,2,-1,4,4,4,6,3,6,4,3,6,6,6,7,4,7,7,7,7,4,3,5,8,10,7,5,10,12,7,7,5,19,8,12,2,5,7,10,11,10,8,8,11,9,7,7,10,13,11,11,8,12,5,8,7,11,8,13,9,7,15,10,12,9,11,7,7,8,10,8,6,11,16,9,7,7,8,7,8,6,6,6,9,3,4,6,3,4,4,3,9,3,10,3,3,8,4,6,2,5,8,8,5,7,4,2,2,4,2,2,3,3,4,2,5,2,3,1,1,3,2,3,1,2,3,2,1,1,2,2,2,-1,2,2,1,1,1,1,-1,2,-1,3,-1,1,-1,1,-2,1,1,-3,1,1,-3,1,-3,1,-11,1,-44
