3.1415926,0.000#0.890#0.960#0.620#0.630#0.680#0.880#0.980#0.990#0.540#0.970#0.530#0.400#0.850,5.300e+01,-00006849,000009157,1,000000053,000000302,000000000,000000000
-62,1,-1,1,-1,1,-1,1,2,-2,2,2,2,3,3,-3,2,1,2,1,2,3,6,4,3,1,6,3,6,7,5,5,7,4,8,6,3,9,10,11,10,7,6,5,10,13,7,7,6,17,15,8,17,15,9,13,10,15,6,11,10,14,8,17,21,14,19,15,14,20,11,12,13,14,18,17,16,10,9,16,7,9,13,7,14,6,10,11,9,10,13,9,8,9,6,10,6,6,3,5,5,4,4,9,5,5,3,1,4,2,7,3,4,2,1,-6,1,-2,1,-2,1,-1,1,-32,1,1,-74
-63,1,1,-2,1,2,1,-2,2,2,1,4,1,2,-2,2,1,1,2,3,2,3,7,1,3,1,8,5,8,6,4,4,7,5,9,8,4,11,9,11,7,6,5,12,11,7,7,16,7,9,14,13,19,14,8,13,11,11,7,13,11,16,9,16,19,15,19,18,16,11,12,12,15,19,16,9,17,14,9,9,9,6,13,6,15,13,8,11,8,9,13,8,9,9,7,6,6,5,3,5,4,9,4,4,6,1,3,1,5,4,6,3,3,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-63,1,-1,1,-1,1,2,1,-2,2,2,2,3,1,2,-2,1,2,1,2,3,2,4,6,1,3,3,6,5,8,6,4,4,7,6,8,9,3,11,9,8,10,5,6,13,10,8,6,17,6,9,14,14,18,12,10,14,10,11,6,13,12,15,10,16,19,16,18,22,12,10,13,12,15,16,19,9,17,13,10,9,9,6,13,7,14,12,9,10,9,8,14,9,8,10,6,6,6,5,3,4,5,9,4,5,5,1,3,1,5,4,6,2,4,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-62,1,-1,1,-2,1,2,1,-2,1,3,-1,5,2,1,-2,3,-1,1,2,3,2,4,6,2,2,3,6,4,9,5,5,5,6,7,7,8,4,11,9,11,7,6,5,13,10,7,7,12,11,8,15,13,19,11,11,9,15,9,9,14,10,17,8,18,17,16,18,16,18,13,10,13,14,20,15,13,13,14,9,10,8,11,8,10,11,12,9,8,11,9,13,6,11,9,7,6,6,3,5,6,3,9,4,5,5,1,3,2,4,6,4,4,2,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-62,1,-1,1,-2,1,2,1,-2,1,3,-1,5,2,1,-2,3,-1,1,2,3,2,4,6,2,2,3,6,4,9,5,5,5,6,7,7,8,4,11,9,11,7,6,5,13,10,7,7,12,11,8,15,13,19,11,11,10,14,9,9,14,10,17,8,19,16,16,18,16,18,13,10,13,14,20,15,12,14,14,9,10,8,10,9,10,11,12,9,8,11,9,13,6,11,9,7,6,6,3,5,6,3,9,4,5,5,1,3,2,4,6,4,4,2,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-62,1,-1,1,-2,1,2,1,-2,2,2,-1,5,2,1,-2,3,-1,1,2,3,2,5,5,2,2,3,6,3,10,5,5,6,5,6,8,8,4,10,10,11,7,7,4,13,10,6,8,13,10,8,15,14,18,13,9,11,13,11,7,14,10,16,9,18,17,15,19,17,17,11,12,13,14,19,16,12,14,14,9,11,7,7,12,8,13,12,9,9,10,8,14,6,11,10,6,5,7,4,4,5,4,10,3,5,5,1,3,2,4,6,4,4,2,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-63,1,1,-2,1,2,1,-2,2,2,1,4,1,2,-2,2,1,1,2,3,2,4,6,1,3,1,8,5,8,6,4,4,7,5,9,8,4,11,9,11,7,6,5,12,11,7,7,16,7,9,14,13,19,14,8,13,11,11,7,13,11,16,9,16,19,16,18,18,16,11,12,12,15,19,16,9,17,15,8,9,9,6,13,6,15,12,9,11,8,9,13,9,8,9,7,6,6,5,3,5,4,9,4,4,6,1,3,1,5,4,6,3,3,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-63,1,-1,1,-1,1,2,1,-2,2,2,2,3,-1,3,-2,1,2,1,2,3,2,4,6,1,3,3,6,6,7,5,5,4,7,6,8,9,3,10,10,8,10,5,6,13,10,7,7,16,7,8,15,14,18,12,10,13,11,11,6,14,11,16,9,16,19,15,19,21,13,11,12,13,14,17,18,9,17,15,8,11,7,7,12,7,14,12,9,10,9,8,14,9,8,10,6,6,6,5,3,4,5,9,4,5,5,1,3,1,5,4,6,2,4,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-63,1,-1,1,-1,1,2,1,-2,2,2,2,3,-1,3,-2,1,2,1,2,3,2,4,6,1,3,3,6,6,7,5,5,4,7,6,8,9,3,10,10,8,10,5,6,12,11,7,7,16,7,8,15,15,17,12,10,14,10,11,6,15,10,17,8,15,20,15,19,20,14,12,11,13,14,17,18,9,17,15,8,11,7,6,13,7,14,12,9,10,9,8,14,9,8,10,6,6,6,5,3,4,5,9,4,5,5,1,3,1,5,3,7,2,4,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
-62,1,-1,1,-2,1,2,1,-2,1,3,1,4,2,1,-2,3,-1,1,2,3,2,6,4,2,2,2,7,4,9,5,5,4,7,7,7,8,4,11,10,11,6,7,4,12,11,6,8,14,9,7,16,14,18,14,8,9,16,8,9,15,9,14,11,18,17,17,17,14,20,12,11,12,15,20,15,11,15,13,11,7,10,12,7,11,10,10,11,8,11,11,11,5,12,8,8,6,6,3,5,5,4,9,4,5,5,1,3,2,4,5,5,5,1,-1,1,-4,1,-4,1,1,-1,1,-33,1,1,-74
