3.1415926,0.000#0.270#0.250#0.240#0.390#0.350#0.410#0.420#0.430#0.440#0.260#0.360#0.370#0.380#0.450,4.900e+01,-00006733,000008065,1,000000049,000000302,000000000,000000000
-61,1,-3,1,-1,1,1,1,-4,3,1,-2,1,1,-1,4,1,3,-1,1,3,1,1,3,1,1,5,1,1,4,5,6,5,4,4,5,5,1,5,11,7,8,5,8,8,15,7,13,9,11,11,12,5,18,10,13,13,11,11,10,20,14,17,6,14,14,17,8,7,14,15,18,17,18,16,11,12,12,8,13,8,11,13,14,12,10,8,7,5,6,11,5,13,11,8,8,9,7,6,6,6,6,4,5,6,3,3,5,3,2,5,8,5,1,1,3,1,5,-1,4,1,1,2,2,-1,1,1,1,1,2,2,3,-1,2,-1,1,1,1,-2,2,-3,1,-2,1,-3,1,-6,1,-2,1,-74
-61,1,-3,1,1,-1,1,1,-4,3,1,-2,2,-1,1,3,1,3,-1,1,4,-1,3,1,2,-1,3,3,-1,5,3,8,4,5,4,5,3,3,6,10,7,8,6,7,6,17,11,9,11,9,9,14,8,15,8,15,13,11,11,10,13,21,10,13,10,18,15,10,12,9,13,19,21,15,12,15,7,17,12,9,9,10,13,14,11,11,7,8,5,6,10,6,13,11,7,9,6,10,6,5,4,9,5,3,5,5,4,4,2,3,5,8,3,3,1,3,1,5,2,2,2,-1,3,1,-1,1,-1,2,3,-1,2,3,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,-1,1,-74
-61,1,-3,1,1,-1,1,1,-4,3,1,-2,2,-1,1,3,1,3,-1,1,3,1,3,1,2,-1,3,3,-1,5,3,8,4,5,4,5,3,3,6,10,7,8,6,7,6,17,10,10,11,9,11,12,7,16,8,15,13,11,11,10,13,21,13,10,11,17,15,10,11,10,13,19,20,16,12,15,7,17,11,10,9,10,13,14,11,11,7,8,5,6,10,6,12,12,5,11,7,9,6,5,4,9,5,3,6,4,4,4,2,3,6,7,3,3,2,2,1,5,2,2,2,-1,3,1,-1,1,-1,2,3,-1,2,3,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,-1,1,-74
-61,1,-3,1,1,-1,1,1,-4,3,1,-2,2,-1,1,3,1,3,-1,1,3,1,3,1,2,-1,3,3,-1,5,3,8,4,5,4,5,3,3,6,10,7,8,6,7,6,17,10,10,11,9,11,12,7,16,8,15,13,11,11,10,12,22,13,10,12,16,15,10,11,10,13,19,20,16,13,14,7,17,11,10,9,10,13,14,11,11,6,9,5,6,10,6,12,12,5,11,7,9,6,5,4,9,6,2,6,4,4,4,3,2,6,7,3,3,2,2,1,5,2,2,2,-1,2,2,-1,1,-1,2,3,-1,2,3,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,-1,1,-74
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,2,2,-1,1,3,1,3,1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,5,10,6,7,7,16,10,10,10,10,11,12,8,15,7,16,13,11,11,10,16,18,6,17,10,18,14,11,14,7,14,18,22,14,13,14,7,17,14,7,11,8,11,16,11,11,8,7,7,4,8,8,13,11,6,10,6,10,6,5,5,8,6,2,5,5,4,4,1,4,4,9,3,3,1,3,-1,6,2,2,1,1,2,2,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,1,3,-1,1,3,1,3,1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,6,9,6,7,7,16,11,9,10,10,11,12,7,16,7,16,13,11,11,10,14,20,7,16,11,17,15,10,14,7,14,18,22,14,14,13,8,16,13,8,10,9,12,15,11,11,7,8,6,5,8,8,12,12,7,9,6,10,6,5,4,9,6,2,4,6,4,4,2,3,5,8,3,3,1,3,-1,6,2,2,1,1,3,1,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,2,2,-1,1,3,1,4,-1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,4,11,6,7,8,15,10,10,10,10,11,12,9,14,5,18,14,10,11,10,16,18,6,17,10,18,14,11,13,8,14,18,23,13,13,14,7,17,15,6,11,8,11,16,11,11,8,7,6,5,8,8,13,11,6,10,6,10,6,5,5,8,6,2,5,5,3,5,2,3,4,9,3,3,1,3,-1,6,2,2,1,1,2,2,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,2,2,-1,1,3,1,4,-1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,4,11,6,7,8,15,11,9,9,11,11,12,9,14,5,18,14,10,11,10,17,17,6,17,10,18,12,13,13,8,14,18,23,13,13,14,7,17,14,7,11,8,11,16,11,11,8,7,6,5,8,8,13,11,6,10,7,9,6,5,6,7,6,2,5,5,3,5,2,3,4,9,3,3,1,3,-1,6,2,2,1,1,2,2,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,2,2,-1,1,3,1,4,-1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,5,10,6,7,8,15,11,9,9,11,11,12,9,14,5,18,14,10,11,10,17,17,6,17,10,18,12,13,13,8,13,19,23,13,13,14,7,17,14,7,11,8,11,16,11,11,8,7,6,5,7,9,13,11,6,10,7,9,6,5,6,7,6,2,5,5,3,5,2,3,4,9,3,3,1,3,-1,6,2,2,1,1,2,2,1,-2,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,2,2,-1,1,3,1,4,-1,2,-1,3,3,1,4,4,7,3,6,4,5,3,3,6,10,5,10,6,7,9,14,11,9,9,11,11,12,9,14,5,18,14,10,11,10,17,17,6,17,10,18,12,13,13,8,13,19,23,13,13,14,7,17,13,8,11,8,11,16,11,11,8,7,6,5,7,9,13,11,6,10,6,10,6,5,6,7,6,2,5,5,3,5,2,3,4,9,3,3,1,3,-1,6,2,2,1,1,2,2,1,-2,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,1,1,-4,3,1,-2,2,-1,1,3,1,3,-1,1,3,1,3,1,2,-1,3,3,-1,5,3,8,4,5,4,5,3,3,6,10,7,8,6,7,6,17,10,10,11,9,10,13,8,15,8,15,14,10,11,10,14,20,11,12,10,18,15,10,12,9,14,18,21,15,12,15,7,17,12,9,9,10,13,14,11,11,7,8,5,6,10,6,13,11,7,9,6,10,6,5,4,9,5,3,6,4,4,4,2,3,6,7,3,3,1,3,1,5,2,2,2,-1,2,2,-1,1,-1,2,3,-1,2,3,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,-1,1,-74
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,1,3,-1,1,3,1,3,1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,6,9,6,7,7,16,10,10,10,10,11,12,7,16,7,16,13,11,10,11,15,19,7,16,11,17,15,10,14,7,14,18,22,14,13,14,8,16,13,8,10,9,12,15,11,11,7,8,6,5,8,8,12,12,7,9,6,10,6,5,5,8,6,2,5,5,4,4,2,3,6,7,3,3,1,3,-1,6,2,2,1,1,3,1,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,1,3,-1,1,3,1,3,1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,5,10,6,7,7,16,10,10,10,10,11,12,7,16,7,16,13,11,10,11,15,19,7,16,11,17,14,11,14,7,14,18,23,13,13,14,8,16,14,7,11,8,11,16,11,11,8,7,6,5,8,8,12,12,6,10,6,10,6,5,5,8,6,2,5,5,4,4,2,3,6,7,3,3,1,3,-1,6,2,2,1,1,3,1,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
-61,1,-3,1,1,-1,2,-5,4,-3,2,-1,1,3,2,2,-1,1,3,1,3,1,2,-1,3,3,-1,5,4,7,3,6,4,5,3,3,6,10,5,10,6,7,7,16,10,10,10,10,11,12,8,15,7,16,13,11,10,11,15,19,7,16,11,17,14,11,13,8,14,18,22,14,13,14,7,17,14,7,11,8,11,16,11,11,8,7,7,4,9,7,12,12,6,10,6,10,6,5,5,8,6,2,5,5,4,4,1,4,6,7,3,3,1,3,-1,6,2,2,1,1,3,1,-1,1,-1,2,3,-1,1,4,-1,2,-1,1,1,1,-2,2,-4,1,-1,1,-3,1,-7,1,1,-75
