3.1415926,0.000#0.010#0.020#0.030#0.290#0.280#0.300#0.310#0.750#0.710#0.250,4.800e+01,-00007211,000007285,1,000000048,000000302,000000000,000000000
-72,1,-1,1,-2,1,-1,1,-3,1,-5,1,1,-1,2,1,1,-2,1,4,2,3,4,3,6,2,3,2,2,4,5,5,5,7,7,8,11,11,2,3,8,8,6,9,4,14,5,18,10,11,8,11,10,15,7,13,10,11,8,16,12,11,15,10,14,16,18,19,11,8,15,17,10,21,18,11,12,12,15,9,14,12,11,7,22,10,8,9,9,14,7,9,6,7,8,7,10,6,9,7,11,4,7,7,7,6,3,3,8,2,2,4,2,6,5,1,-1,3,-1,3,3,3,2,2,2,-1,1,-1,1,1,1,-3,1,1,3,2,1,-1,1,-3,1,-3,2,-10,1,-63
-72,1,-1,1,-2,1,-1,1,-3,1,-5,1,1,-1,2,1,1,-2,1,4,2,3,4,3,6,2,3,2,2,4,5,5,5,7,7,8,11,11,2,3,8,8,6,9,4,14,5,18,10,11,8,10,11,15,7,13,10,11,8,17,11,11,15,11,13,16,18,19,11,8,15,17,10,21,18,12,11,12,15,10,13,12,11,7,22,10,8,8,10,14,7,9,6,7,8,8,9,6,9,7,11,5,6,6,8,6,3,3,8,2,2,4,2,6,5,1,-1,3,-1,3,3,3,2,2,2,-1,1,-1,1,1,1,-3,1,1,3,2,1,1,-4,1,-3,2,-10,1,-63
-72,1,-1,1,-2,1,-1,1,-3,1,-5,1,1,-1,2,1,1,-2,1,4,2,3,4,3,6,2,3,2,2,4,5,4,6,6,8,8,11,11,2,3,8,8,6,9,4,14,5,19,9,11,8,11,10,15,7,13,10,11,8,17,11,11,15,9,15,15,19,20,10,8,15,17,10,22,17,12,11,12,15,10,13,13,10,7,22,10,8,7,11,14,7,8,7,8,7,8,9,6,9,7,11,5,6,6,8,6,3,3,8,2,2,4,2,6,5,1,-1,3,-1,3,3,3,2,2,2,-1,1,-1,1,1,1,-3,1,1,3,2,1,1,-4,1,-2,1,1,-10,1,-63
-72,1,-1,1,-2,1,-1,1,-3,1,-5,1,1,-1,2,1,1,-2,1,4,2,3,4,3,6,2,3,2,2,4,5,4,6,6,8,8,11,11,2,3,8,8,6,8,5,13,6,19,9,11,8,11,10,15,7,13,10,11,8,17,11,11,15,9,15,15,19,21,9,8,15,17,10,22,17,11,12,12,15,10,13,13,10,7,22,10,8,7,11,14,7,8,7,8,7,8,9,6,9,7,11,5,6,6,8,6,3,3,8,2,2,4,2,6,5,1,-1,3,-1,3,3,3,2,2,2,-1,1,-1,1,1,1,-3,1,1,3,2,1,1,-4,1,-2,1,1,-10,1,-63
-73,1,1,-1,1,-2,1,-3,1,-5,1,1,-1,1,2,1,-1,1,-1,2,4,3,4,5,4,2,3,2,2,4,5,3,7,7,7,7,12,9,4,5,6,7,7,8,5,11,8,18,10,12,7,14,7,13,9,14,9,9,10,16,12,13,13,8,16,18,16,15,15,10,13,15,12,14,25,11,12,11,16,12,11,12,11,10,19,12,6,8,10,12,9,10,5,10,5,11,6,6,9,8,10,7,4,6,8,6,3,5,6,3,1,3,3,6,5,-1,1,1,2,4,2,3,2,1,3,-1,1,-1,1,1,1,-3,1,2,2,1,2,1,-3,1,-3,1,1,-10,1,-63
-73,1,1,-1,1,-2,1,-3,1,-5,1,1,-1,1,2,1,-1,1,-1,2,4,3,4,5,4,2,3,2,2,4,5,3,7,7,7,7,12,9,4,5,6,7,7,8,5,11,8,18,10,12,7,14,7,13,9,14,9,8,11,16,12,13,13,8,16,18,16,15,15,11,12,15,12,15,24,10,13,11,16,12,11,12,11,9,20,12,6,8,10,12,9,10,5,10,5,11,6,6,9,8,10,7,4,6,8,6,3,5,6,3,1,3,3,6,5,-1,1,1,2,3,3,3,2,1,3,-1,1,-1,1,1,1,-3,1,2,2,1,2,1,-3,1,-3,1,1,-10,1,-63
-73,1,1,-1,1,-2,1,-3,1,-5,1,1,-1,1,2,1,-1,1,-1,2,4,3,4,5,4,2,3,2,2,4,5,3,7,7,7,7,12,9,4,5,6,6,8,8,5,11,8,18,10,12,7,14,7,13,9,14,9,9,10,16,12,13,13,8,16,18,16,15,15,10,13,15,12,15,24,11,12,11,16,11,12,12,11,10,19,12,6,8,10,12,9,10,5,11,4,11,6,6,9,8,10,6,5,6,8,6,3,5,6,3,1,3,3,6,5,-1,1,1,2,4,2,3,2,-1,4,-1,1,-1,1,1,1,-3,1,2,2,1,2,1,-3,1,-3,1,1,-10,1,-63
-73,1,1,-1,1,-2,1,-3,1,-5,1,1,-1,1,2,1,-1,1,-1,2,4,3,4,5,4,2,3,2,2,4,5,3,7,8,6,6,13,9,4,6,5,5,9,8,5,11,8,18,10,11,8,14,7,13,9,15,8,9,10,16,12,13,13,9,15,18,16,15,15,11,12,14,13,15,24,11,12,11,16,11,12,12,11,10,19,12,6,8,10,12,9,10,5,11,4,10,7,6,9,7,11,6,5,5,9,7,2,5,6,3,1,3,3,6,5,-1,1,1,2,4,2,3,2,-1,4,-1,1,-1,1,1,1,-3,1,2,2,1,2,1,-3,1,-3,1,1,-10,1,-63
-73,1,1,-1,1,-1,1,-3,1,-5,1,-1,1,-1,1,2,1,-1,1,-1,2,4,2,5,8,1,2,3,1,3,6,3,4,6,8,6,8,11,4,9,7,4,5,9,6,7,4,15,14,14,11,8,10,11,9,13,15,8,10,9,16,12,12,12,15,11,19,15,13,17,15,8,11,16,14,25,13,10,15,12,11,12,10,12,16,14,9,9,10,8,10,11,5,10,7,8,7,10,7,8,8,10,7,4,7,7,3,6,9,2,2,2,1,5,7,4,-1,1,-1,3,3,3,2,3,-1,4,-1,1,1,-1,1,1,-2,1,-1,2,2,1,2,1,-3,1,-3,2,-12,1,-62
-73,1,1,-1,1,-1,1,-3,1,-5,1,-1,1,-2,3,1,-1,1,-1,2,4,2,5,8,1,2,3,1,3,6,3,4,6,8,6,6,13,5,8,8,3,5,9,5,8,4,15,14,14,11,8,10,11,10,12,15,8,9,10,16,12,14,11,14,11,19,15,14,16,15,8,12,15,13,26,13,10,15,12,11,12,10,12,17,13,10,8,10,8,9,12,4,11,7,8,7,10,9,6,8,10,7,4,7,7,3,6,9,2,2,2,1,5,7,4,-1,1,-1,3,3,3,2,3,-1,4,-1,1,1,-1,1,1,-2,1,-1,2,2,1,2,1,-3,1,-3,2,-12,1,-62
