3.1415926,0.000#0.720#0.560#0.730#0.580#0.740#0.750#0.850#0.860#0.770#0.870#0.840#0.410#0.790,5.000e+01,-00007159,000008141,1,000000050,000000306,000000000,000000000
-50,1,-10,1,-8,1,-2,1,1,-1,1,-1,3,-4,1,1,1,1,2,1,3,1,2,-1,2,1,3,2,5,2,2,5,-1,5,4,4,6,1,10,3,4,13,1,9,7,12,11,3,9,7,11,8,4,7,12,13,9,15,12,15,6,13,12,10,11,12,15,16,17,14,16,14,10,15,18,16,14,15,15,15,11,11,17,14,9,9,11,12,12,10,11,4,10,14,7,9,7,8,13,7,5,2,14,4,10,8,8,8,3,3,5,2,4,7,2,3,4,1,5,2,2,1,2,3,1,-1,4,3,1,1,1,1,1,-1,1,-2,1,-2,1,-17,1,-1,1,-76
-51,1,-8,1,-9,1,-2,1,-1,1,-1,1,2,1,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,2,2,5,2,3,1,1,4,5,4,6,4,9,2,2,5,6,8,8,8,12,11,9,3,11,7,6,6,13,6,10,12,16,11,9,12,14,10,10,12,18,9,14,19,20,10,12,12,11,22,14,16,16,14,11,14,18,10,11,13,9,11,13,11,11,10,13,1,9,12,5,11,13,8,6,6,12,3,12,3,8,8,7,4,2,6,4,2,1,8,4,3,5,1,1,3,2,1,2,2,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
-50,1,-9,1,-9,1,-2,1,-1,1,-1,1,3,-3,1,-1,1,1,2,1,3,1,1,2,1,1,3,1,2,5,2,2,2,3,5,4,6,4,9,2,3,4,7,7,7,9,10,13,7,5,11,7,6,6,14,5,12,10,13,14,11,10,13,11,10,12,18,9,12,21,20,10,15,9,13,20,14,16,18,12,11,15,18,9,14,10,8,12,12,12,12,9,9,5,13,8,5,11,11,10,5,7,9,6,10,5,6,10,7,4,2,6,4,2,1,8,5,2,5,1,1,3,3,-1,2,2,4,-1,2,2,1,1,2,-1,1,-4,1,-1,1,-16,1,-1,1,-77
-51,1,-8,1,-10,1,-1,1,-1,1,-1,1,2,1,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,2,2,5,2,3,1,1,4,5,4,6,4,9,2,2,5,6,8,8,8,12,11,9,3,11,7,5,7,13,6,9,13,16,11,9,12,14,10,10,12,18,9,15,18,20,10,12,12,12,21,13,17,16,14,12,13,18,10,11,13,9,11,13,11,11,10,13,1,9,12,4,12,13,8,5,7,11,4,12,3,8,8,6,5,2,6,4,2,1,8,4,3,5,1,1,3,2,1,2,2,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
-50,1,-9,1,-9,1,-2,1,-1,1,-1,1,3,-3,1,-1,1,1,2,1,3,1,1,2,1,1,3,1,2,5,2,2,2,3,5,4,6,4,9,2,3,4,6,8,7,9,10,13,7,5,11,7,6,6,15,4,12,10,13,14,11,10,13,11,10,12,18,9,12,21,20,10,14,10,12,21,16,14,17,13,11,15,18,9,13,11,8,12,12,12,12,9,10,4,11,10,4,12,12,9,5,7,9,6,11,4,6,10,7,4,2,6,5,1,1,8,5,2,5,1,1,3,3,-1,2,2,4,-1,2,2,1,1,2,-1,1,-4,1,-1,1,-16,1,-1,1,-77
-51,1,-8,1,-10,1,-1,1,-1,1,-1,1,1,2,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,2,2,5,2,3,1,1,4,5,4,7,3,9,2,2,5,6,8,8,8,12,11,9,3,11,7,5,7,12,7,9,13,15,12,9,12,14,10,10,12,18,9,15,18,20,10,12,12,12,21,12,18,15,15,12,13,18,10,11,13,9,11,13,11,11,10,13,1,9,12,4,12,13,8,4,8,11,4,12,3,8,8,6,5,3,5,4,2,1,8,4,3,5,1,1,3,2,1,2,2,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
-51,1,-8,1,-10,1,-1,1,-1,1,-1,1,-1,3,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,2,2,5,2,3,1,1,4,5,4,7,3,9,2,2,5,6,8,8,8,12,11,9,3,11,7,5,7,13,6,10,12,14,13,9,12,14,10,10,12,18,9,15,18,20,10,11,13,12,21,12,18,15,15,12,13,18,10,11,13,10,10,12,12,11,10,12,2,9,12,5,11,13,8,4,8,11,4,12,3,8,8,6,5,3,5,4,2,1,8,4,3,5,1,2,2,2,1,2,2,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
-51,1,-8,1,-10,1,-1,1,-1,1,-1,1,-1,3,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,3,1,5,2,3,1,1,4,6,3,6,4,10,1,4,3,3,11,9,7,12,11,9,3,11,7,4,8,12,7,9,13,12,15,7,14,15,9,10,12,16,11,17,16,18,12,10,14,15,18,14,16,16,14,13,12,17,11,12,12,11,9,11,13,11,10,11,3,8,13,5,11,14,7,4,8,12,3,12,2,9,8,5,6,3,5,4,2,1,8,4,3,5,1,3,1,2,1,1,3,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
-51,1,-8,1,-10,1,-1,1,-1,1,-1,1,-1,3,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,3,1,5,2,3,1,1,4,6,3,6,4,10,1,4,3,3,11,9,7,11,12,10,2,11,7,4,8,13,6,8,14,12,15,6,15,15,9,10,12,16,11,17,16,18,12,11,13,15,18,14,16,15,15,13,12,17,11,12,12,11,9,11,13,11,10,11,3,8,13,6,10,13,8,4,8,12,3,12,2,9,8,5,6,3,5,4,2,1,8,4,3,5,1,3,1,2,1,1,3,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
-51,1,-8,1,-10,1,-1,1,-1,1,-1,1,-1,3,-2,1,-1,1,1,2,1,4,-1,1,2,2,-1,2,2,6,1,3,1,1,4,5,4,6,4,9,2,2,5,5,9,8,8,12,11,9,3,11,7,4,8,12,7,10,12,14,13,8,13,14,10,10,12,18,9,15,18,20,10,11,13,13,20,12,18,15,15,13,12,17,11,11,13,10,10,12,12,10,11,12,2,9,12,5,11,13,8,4,8,11,4,12,3,8,8,6,5,3,5,4,2,1,8,4,3,6,-1,3,1,2,1,2,2,4,-1,1,3,1,1,2,-1,1,-4,1,1,-17,1,-1,1,-77
