0.0000000,0.000#0.370#0.380#0.440#0.450#0.470#0.430#0.360#0.350#0.390#0.460#0.340#0.420#0.490#0.500#0.400#0.510#0.310#0.320#0.330#0.410#0.480#0.520#0.550#0.300#0.630#0.530#0.540#0.620#0.290#0.560#0.590#0.610#0.280#0.600#0.270#0.160#0.250#0.260,1.000e-01,-00000012,000000020,0,000000001,000000320,000000000,000000000
-33,1,-5,1,-11,1,-2,1,1,-2,2,-1,2,2,1,4,1,-1,1,2,1,2,3,2,1,1,-1,5,1,-1,4,1,9,4,4,6,8,5,2,2,5,3,4,4,9,2,6,8,4,6,6,11,7,6,6,4,15,9,7,6,11,7,6,10,6,15,10,8,11,12,9,6,7,9,9,7,12,10,6,6,8,5,8,6,6,7,7,6,6,18,5,2,11,9,7,8,3,4,6,5,3,6,4,7,3,3,4,4,3,4,5,3,2,3,3,-1,1,2,2,-1,1,4,4,2,2,1,1,-1,1,1,1,-1,1,2,-1,2,-3,1,-3,1,-2,1,-3,1,-6,1,-33,1,-80
-37,1,-5,1,-11,1,-2,1,1,-2,2,1,2,1,3,2,1,1,-1,3,-1,3,4,-1,1,1,1,4,1,3,1,1,11,3,4,10,4,4,3,6,1,2,4,9,5,4,4,8,5,5,11,7,6,8,5,3,16,12,2,11,9,6,6,8,9,14,10,6,13,13,8,9,8,5,9,6,14,9,7,5,7,7,6,9,2,7,9,5,16,8,5,3,10,10,6,9,3,3,6,6,2,9,2,6,3,4,2,4,5,6,1,3,2,3,3,-1,2,1,2,-1,1,6,2,3,1,2,-1,1,-1,1,1,-1,2,1,1,1,-3,1,-3,1,-1,1,-4,1,-5,1,-34,1,-76
-37,1,-5,1,-11,1,-2,1,1,-2,2,1,2,1,2,3,1,-1,1,3,-1,2,3,2,1,1,1,4,1,3,1,1,11,2,5,8,5,5,2,6,2,2,4,7,7,2,6,7,5,6,8,10,6,6,5,5,16,11,3,8,12,5,7,8,8,15,10,6,13,12,8,8,9,6,8,6,13,10,8,4,8,5,7,7,5,7,9,4,13,11,6,3,10,9,7,8,2,5,6,4,4,9,2,6,2,5,2,4,4,6,2,3,2,3,3,-1,2,1,2,-1,1,6,2,3,1,2,-1,1,-1,1,1,-1,1,2,-1,2,-3,1,-3,1,-2,1,-3,1,-6,1,-33,1,-76
-37,1,-6,1,-11,1,-2,1,1,-1,2,-1,2,1,2,4,-1,1,1,-1,3,-1,3,4,1,-1,1,3,2,1,4,-1,5,8,4,3,9,7,2,3,5,2,4,5,6,4,5,8,6,4,3,12,7,7,6,6,6,16,9,3,11,8,7,7,7,10,13,11,7,14,11,7,8,7,7,7,14,10,6,6,9,4,7,8,6,6,6,8,5,16,6,5,7,6,11,9,6,4,2,7,4,4,7,2,6,4,4,2,4,5,6,-1,5,2,2,2,-1,2,2,1,1,3,4,1,4,1,1,-1,1,-1,1,1,1,1,1,1,1,-2,1,-3,1,-2,1,-4,1,-5,1,-34,1,-75
-37,1,-6,1,-11,1,-2,1,1,-1,1,1,2,1,1,4,1,1,1,-1,3,-1,3,4,1,-1,1,3,2,1,4,-1,3,9,4,3,10,6,3,3,5,2,4,4,6,5,4,7,8,3,4,12,6,7,7,5,5,18,8,4,10,9,6,7,8,8,15,10,7,13,12,7,9,7,7,7,13,8,9,6,9,3,7,8,7,4,5,10,5,17,6,5,6,7,10,10,6,4,2,7,4,3,8,2,6,4,3,3,4,4,7,-1,4,2,3,2,-1,2,2,1,1,3,3,2,4,1,1,-1,1,-1,1,1,1,1,1,1,1,-3,1,-3,1,-1,1,-4,1,-5,1,-34,1,-75
-38,1,-5,1,-11,1,-2,1,1,-2,2,1,2,1,3,2,1,1,-1,3,-1,3,4,-1,1,1,1,4,1,3,1,1,11,3,4,10,4,4,3,6,1,2,4,9,5,4,4,8,5,5,11,7,6,8,5,3,16,12,2,11,9,6,6,8,9,14,10,6,13,13,8,9,8,5,9,6,14,9,7,5,7,7,6,9,2,7,9,5,16,8,5,3,10,10,6,9,3,3,6,6,2,9,2,6,3,4,2,4,5,6,1,3,2,3,3,-1,2,1,2,-1,1,6,2,3,1,2,-1,1,-1,1,1,-1,2,1,1,1,-3,1,-3,1,-1,1,-4,1,-5,1,-34,1,-75
-37,1,-6,1,-11,1,-2,1,1,-1,2,-1,2,1,2,4,1,-1,1,1,2,-1,4,3,1,-1,1,4,1,1,4,-1,5,9,4,5,6,8,1,3,5,2,4,5,7,3,5,8,6,5,3,13,5,7,8,4,9,14,8,4,12,6,9,5,7,10,16,9,8,14,9,8,8,7,7,9,12,10,5,7,9,4,6,9,5,7,6,8,5,17,5,5,8,7,8,10,5,4,2,8,4,5,5,3,5,4,5,3,2,6,5,1,4,3,1,2,-1,3,2,-1,1,3,5,2,2,1,1,-1,1,-1,1,1,1,1,1,1,1,-2,1,-3,1,-2,1,-3,1,-6,1,-33,1,-76
-36,1,-6,1,-11,1,-2,1,1,-2,2,1,2,1,4,1,1,1,-1,3,-1,3,4,1,-1,1,3,2,1,3,1,1,11,4,3,10,5,3,4,5,1,2,6,7,5,4,7,6,5,4,12,6,6,8,5,3,16,12,3,11,9,5,8,8,8,14,10,8,12,11,8,9,8,7,7,9,12,9,6,7,5,7,6,9,3,6,10,4,17,7,5,4,9,10,9,6,5,1,7,5,2,9,2,6,4,3,2,5,4,7,-1,3,2,4,2,-1,2,2,1,1,2,4,2,4,-1,2,-1,1,-1,1,1,-1,2,1,1,1,-3,1,-3,1,-1,1,-4,1,-5,1,-34,1,-76
-36,1,-6,1,-11,1,-2,1,1,-1,1,1,2,1,1,4,1,1,1,-1,3,-1,3,4,1,-1,1,3,2,1,4,-1,3,9,4,3,10,6,3,3,5,2,4,4,6,5,4,7,8,3,4,12,6,7,7,5,5,18,8,4,10,9,6,7,8,8,15,10,7,13,12,7,9,7,7,7,13,8,9,6,9,3,7,8,7,4,5,10,5,17,6,5,6,7,10,10,6,4,2,7,4,3,8,2,6,4,3,3,4,4,7,-1,4,2,3,2,-1,2,2,1,1,3,3,2,4,1,1,-1,1,-1,1,1,1,1,1,1,1,-3,1,-3,1,-1,1,-4,1,-5,1,-34,1,-76
-37,1,-5,1,-11,1,-2,1,1,-2,2,-1,3,1,1,4,1,-1,1,3,-1,2,3,2,1,1,-1,5,1,1,3,1,9,4,4,7,7,5,2,5,2,3,4,5,8,2,6,8,5,5,8,10,7,5,6,5,14,11,5,8,10,6,7,9,7,14,10,8,13,10,9,9,6,9,7,7,13,10,7,4,8,6,7,7,5,7,9,4,8,16,6,3,9,10,7,8,2,4,6,5,4,7,3,6,3,4,3,4,4,5,3,3,2,3,3,-1,2,1,2,-1,1,4,4,2,2,1,1,1,-1,1,1,-1,1,2,-1,2,-3,1,-3,1,-2,1,-3,1,-6,1,-33,1,-76
